"","Site","year","tag","coin","X","Y","x","y","date","status","final.status","num.infl","num.H.infl","num.D.infl","height.in","height.cm","notes"
"1","BT",2018,"85","1990D",2,0,0.9,0.2,"6/20/2018","H","H",19,19,0,19,"48.26",""
"2","BT",2018,"86","1964",3,0,0.75,0.25,"6/20/2018","H","H",21,21,0,21,"53.34",""
"3","BT",2018,"87","1992D",4,0,0.75,0.25,"6/20/2018","H","H",14,14,0,13,"33.02",""
"4","BT",2018,"88","2013D",2,2,1,0.2,"6/20/2018","D","D",24,20,4,9,"22.86",""
"5","BT",2018,"92","2014D",2,3,0.4,0.6,"6/20/2018","H","H",25,25,0,17,"43.18",""
"6","BT",2018,"94","1983P",3,3,0.2,0.1,"6/20/2018","H","H",7,7,0,12.5,"31.75",""
"7","BT",2018,"95","2005P",3,3,0.3,0.8,"6/20/2018","H","H",5,5,0,10,"25.4",""
"8","BT",2018,"96","1999D",3,3,0.35,0.8,"6/20/2018","H","H",5,5,0,7,"17.78",""
"9","BT",2018,"97","1996D",3,3,0.5,0.25,"6/20/2018","D","D",17,16,1,19,"48.26",""
"10","BT",2018,"98","2006P",3,3,0.75,1,"6/20/2018","H","H",6,6,0,6,"15.24",""
"11","BT",2018,"99","1997D",4,3,0.05,0.1,"6/20/2018","H","H",8,8,0,8.5,"21.59",""
"12","BT",2018,"100","1964",4,3,0.5,0.1,"6/20/2018","H","H",20,20,0,13,"33.02",""
"13","BT",2018,"103","1988D",2,4,0.2,0.75,"6/20/2018","H","H",11,11,0,7.5,"19.05",""
"14","BT",2018,"104","1995D",2,4,0.55,0.1,"6/20/2018","H","H",9,9,0,13,"33.02",""
"15","BT",2018,"105","2002D",2,4,0.65,0.9,"6/20/2018","H","H",10,10,0,16,"40.64",""
"16","BT",2018,"106","2007D",2,4,0.6,0.6,"6/20/2018","H","H",50,50,0,17,"43.18",""
"17","BT",2018,"107","2010D",2,4,0.9,0.1,"6/20/2018","H","H",8,8,0,14,"35.56",""
"18","BT",2018,"108","2015D",2,4,0.6,0.05,"6/20/2018","H","H",18,18,0,16.5,"41.91",""
"19","BT",2018,"109","1997D",2,4,0.9,0.6,"6/20/2018","H","H",17,17,0,10,"25.4",""
"20","BT",2018,"110","2015D",2,4,0.8,0.1,"6/20/2018","H","H",20,20,0,17,"43.18","coordinates not an exact match, but close enought to infer ID"
"21","BT",2018,"111","1990D",2,4,1,0.95,"6/20/2018","H","H",25,25,0,10.5,"26.67",""
"22","BT",2018,"115","1987P",3,4,0.1,0.45,"6/20/2018","H","H",7,7,0,2.25,"5.715",""
"23","BT",2018,"116","2008D",3,4,0.1,0.5,"6/20/2018","H","H",9,9,0,16,"40.64",""
"24","BT",2018,"117","1985D",3,4,0.9,0.6,"6/20/2018","H","H",15,15,0,13,"33.02",""
"25","BT",2018,"118","1983D",3,4,0.25,0.25,"6/20/2018","H","H",8,8,0,10,"25.4",""
"26","BT",2018,"119","2015D",3,4,0.25,1,"6/20/2018","H","H",2,2,0,6,"15.24",""
"27","BT",2018,"120","1987P",4,4,0.95,0.35,"6/20/2018","D","D",21,16,5,18,"45.72",""
"28","BT",2018,"127","1997D",3,5,0.6,0.6,"6/20/2018","H","H",15,15,0,16,"40.64",""
"29","BT",2018,"128","1967",3,6,0.8,0.3,"6/20/2018","H","H",9,9,0,16,"40.64",""
"30","BT",2018,"134","1996D",3,5,0.35,0.4,"6/20/2018","H","H",38,38,0,20,"50.8",""
"31","BT",2018,"136","1999D",3,6,0.9,0.4,"6/20/2018","H","H",15,15,0,23,"58.42",""
"32","BT",2018,"137","2008D",0,6,0.9,0.9,"6/20/2018","H","H",28,28,0,19,"48.26",""
