Year,Site,Tag,Date,N.Stems,N.D.Stems,max.height,whole.plant.photo,stem.index,leaf.index,stem.height,picture measured?,picture,percent.tissue.infected,length.tissue.infected,N.pustules.bottom,N.pustules.middle,N.pustules.top,notes
2019,BT,59,7/16/2019,32,14,47,,other,,42,,,0.3,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,32,,,0.25,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,35,,,0.1,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,37,,,0.05,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,36,,,0.05,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,38,,,0.1,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,41,,,0.3,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,42,,,0.5,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,42,,,0.3,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,42,,,0.15,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,42,,,0.2,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,36,,,0.2,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,35,,,0.15,,,,,
2019,BT,59,7/16/2019,32,14,47,,other,,33,,,0.1,,,,,
2019,BT,85,7/22/2019,8,7,50,C3755,pink,1,30,,C3756,1,,8,19,14,
2019,BT,86,6/24/2019,49,3,33,,,,,,,,,,,,
2019,BT,86,6/25/2019,,,,C2577,green,1,,,C2622,0.2,,13,6,18,
2019,BT,86,6/25/2019,,,,C2577,orange,1,,,C2621,0.6,,5,3,28,
2019,BT,86,6/25/2019,,,,C2577,pink,1,,,C2620,0.9,,5,4,43,
2019,BT,86,7/2/2019,38,8,43,C2775,green,1,10,,C2778,0.95,,2,5,17,
2019,BT,86,7/2/2019,38,8,43,C2775,orange,1,13,,C2777,0.6,,6,3,31,
2019,BT,86,7/2/2019,38,8,43,C2775,pink,1,10,,C2776,1,,2,28,16,
2019,BT,86,7/9/2019,32,10,45,C2952,green,1,9,,C2955,1,,6,7,25,
2019,BT,86,7/9/2019,32,10,45,C2952,orange,1,17,,C2954,1,,11,15,65,
2019,BT,86,7/9/2019,32,10,45,C2952,pink,1,10,,C2953,1,,11,30,21,
2019,BT,86,7/16/2019,34,34,50,C3294,green,1,9,,,1,,10,11,9,G tag fell off
2019,BT,86,7/16/2019,34,34,50,C3294,orange,1,14,,C3295,1,,6,14,52,
2019,BT,86,7/16/2019,34,34,50,C3294,pink,1,8,,,1,,5,4,17,P looks dead
2019,BT,86,7/22/2019,30,30,49,C3687,orange,1,12,,C3688,1,,17,7,26,
2019,BT,86,7/22/2019,30,30,49,C3687,pink,1,8,,,1,,,,,
2019,BT,86,7/30/2019,28,28,54,,orange,1,17,,,1,,1,9,13,P dead
2019,BT,87,6/24/2019,19,2,25,,,,,,,,,,,,
2019,BT,87,6/25/2019,,,,C2578,orange,1,,,C2579,0.05,,5,,,snow washed away disease?
2019,BT,87,6/25/2019,,,,C2578,pink,1,,,,0,,0,0,0,snow washed away disease?
2019,BT,87,7/2/2019,17,0,30,,orange,1,,,,0,,0,0,0,"orange is dead, whole plant picture erroneously labeled as C2777"
2019,BT,87,7/2/2019,17,0,30,C2777,pink,1,26,,,0,,0,0,0,
2019,BT,87,7/16/2019,15,3,38,C3296,green2,1,34,,C3299,0.01,,1,1,,"new tags, P fell off"
2019,BT,87,7/16/2019,15,3,38,C3296,orange2,1,34,,C3298,0.01,,1,,,"new tags, P fell off"
2019,BT,87,7/16/2019,15,3,38,C3296,pink,,,,,0,,,,,O dead
2019,BT,87,7/16/2019,15,3,38,C3296,pink2,1,25,,C3297,0.2,,1,1,1,"new tags, P fell off"
2019,BT,87,7/22/2019,16,14,42,C3689,green2,1,33,,C3691,0.01,,1,,,P fell off last week
2019,BT,87,7/22/2019,16,14,42,C3689,orange2,1,33,,C3690,0.2,,1,3,1,P fell off last week
2019,BT,88,6/24/2019,37,2,21,,,,,,,,,,,,
2019,BT,88,6/25/2019,,,,C2580/C2581,orange,1,,,C2626,0.7,,3,3,13,
2019,BT,88,6/25/2019,,,,C2580/C2581,pink,1,,,C2625,0.25,,3,5,5,
2019,BT,88,7/2/2019,38,3,25,C2789,green,1,10,,C2783,0.5,,1,3,17,
2019,BT,88,7/2/2019,38,3,25,C2789,orange,1,11,,C2782,0.5,,3,5,19,
2019,BT,88,7/2/2019,38,3,25,C2789,pink,1,15,,C2781,0.45,,6,9,23,
2019,BT,88,7/9/2019,38,5,29,C2964,green,1,11,,C2967,1,,4,8,28,
2019,BT,88,7/9/2019,38,5,29,C2964,orange,1,13,,C2966,0.9,,5,2,32,
2019,BT,88,7/9/2019,38,5,29,C2964,pink,1,17,,C2965,0.95,,1,3,28,
2019,BT,88,7/16/2019,36,24,31,C3300,green,1,12,,C3303,1,,4,8,6,
2019,BT,88,7/16/2019,36,24,31,C3300,orange,1,16,,C3302,1,,9,4,25,
2019,BT,88,7/16/2019,36,24,31,C3300,pink,1,18,,C3301,1,,6,21,26,
2019,BT,88,7/22/2019,32,32,30,C3692,green,1,13,,C3695,1,,12,18,29,
2019,BT,88,7/22/2019,32,32,30,C3692,orange,1,16,,C3694,1,,6,6,41,
2019,BT,88,7/22/2019,32,32,30,C3692,pink,1,18,,C3693,1,,6,37,50,
2019,BT,88,7/30/2019,28,28,32,,green,1,12,,,1,,7,18,9,
2019,BT,88,7/30/2019,28,28,32,,orange,1,16,,,1,,16,5,15,
2019,BT,88,7/30/2019,28,28,32,,pink,1,20,,,1,,4,24,13,
2019,BT,97,6/24/2019,31,7,29,,,,,,,,,,,,
2019,BT,97,6/25/2019,,,,C2582,green,1,,,C2630,0.85,,1,5,7,
2019,BT,97,6/25/2019,,,,C2582,orange,1,,,C2629,0.15,,1,1,,
2019,BT,97,6/25/2019,,,,C2582,pink,1,,,C2628,0.95,,1,4,10,
