date,location,transect,start.elevation,start.waypoint,end.elevation,end.waypoint,first.pop.elevation,first.pop.waypoint,first.pop.area,first.pop.n.healthy,first.pop.n.diseased,dis.pop.elevation,dis.pop.waypoint,dis.pop.area,dis.pop.n.healthy,dis.pop.n.diseased,notes
7/30/20,scarp.ridge,1,3200,SR2,3300,SR4,3259,SR3,100,8,0,,,,,,
7/30/20,scarp.ridge,2,3300,SR4,3400,SR5,,,,,,,,,,,
7/30/20,scarp.ridge,3,3400,SR5,3500,SR6,,,,,,,,,,,
7/30/20,scarp.ridge,4,3500,SR6,3600,SR7,,,,,,,,,,,
7/30/20,scarp.ridge,5,3600,SR7,3700,SR8,,,,,,,,,,,
7/31/20,rustlers.gulch,1,3200,RG1,3300,RG2,,,,,,,,,,,
7/31/20,rustlers.gulch,2,3300,RG2,3400,RG3,,,,,,,,,,,
7/31/20,rustlers.gulch,3,3400,RG3,3500,RG7,3404,RG5,100,33,0,3407,RG6,100,1,6,
7/31/20,rustlers.gulch,4,3500,RG7,3600,RG8,,,,,,,,,,,
6/15/20,gothic.mountain,1,3000,NR,3100,NR,3072,,100,13,0,,,,,,
6/15/20,gothic.mountain,2,3100,NR,3200,NR,3136,,100,44,0,,,,,,
6/15/20,gothic.mountain,3,3200,NR,3300,NR,3210,,100,96,2,,,,,,
6/15/20,gothic.mountain,4,3300,NR,3400,NR,,,,,,,,,,,
6/15/20,gothic.mountain,5,3400,NR,3500,NR,3407,,100,103,0,,,,,,
7/2/20,gothic.mountain,6,3500,GM1,3600,GM2,,,,,,,,,,,
7/2/20,gothic.mountain,7,3600,GM2,3700,GM3,,,,,,,,,,,
7/2/20,gothic.mountain,8,3700,GM3,3800,GM4,,,,,,,,,,,
6/29/20,cement.creek,1,2700,CC1,2800,CC3,2700,CC1,100,66,0,2715,CC2,100,9,2,
6/29/20,cement.creek,2,2800,CC3,2900,NR,2825,CC4,100,24,0,2866,CC5,100,126,4,
6/30/20,virginia.basin,1,2803,VB1,2898,VB2,2803,VB1,100,92,1,,,,,,"elevation wrong, need to correct somehow"
6/30/20,virginia.basin,2,2898,VB2,3001,VB4,2996,VB3,100,20,1,,,,,,"elevation wrong, need to correct somehow"
6/30/20,virginia.basin,3,3001,VB4,3100,VB7,3017,VB5,100,5,0,3026,VB6,100,12,2,"elevation wrong, need to correct somehow"
6/30/20,virginia.basin,4,3100,VB7,3200,VB8,,,,,,,,,,,"elevation wrong, need to correct somehow"
6/30/20,virginia.basin,5,3200,VB8,3300,VB10,3260,VB9,100,73,0,,,,,,"elevation wrong, need to correct somehow"
6/30/20,virginia.basin,6,3300,VB10,3400,VB11,3300,VB10,100,6,0,,,,,,"elevation wrong, need to correct somehow"
6/30/20,virginia.basin,7,3400,VB11,3500,VB12,3400,VB11,100,22,0,,,,,,"elevation wrong, need to correct somehow"
6/30/20,virginia.basin,8,3500,VB12,3600,VB14,3520,VB13,100,70,0,,,,,,"elevation wrong, need to correct somehow"
