"Plot Title: Bus Turnaround"
"#","Date Time, GMT-06:00","Wetness, % (LGR S/N: 20871536, SEN S/N: 20851354)","Rain, mm (LGR S/N: 20871536, SEN S/N: 20864341)","Solar Radiation, W/m² (LGR S/N: 20871536, SEN S/N: 20870906)","Wind Speed, m/s (LGR S/N: 20871536, SEN S/N: 20871373)","Gust Speed, m/s (LGR S/N: 20871536, SEN S/N: 20871373)","Wind Direction, ø (LGR S/N: 20871536, SEN S/N: 20871373)","Water Content, m³/m³ (LGR S/N: 20871536, SEN S/N: 20871580)"
1,06/15/21 10:57:15 AM,0.00,,1276.9,1.34,2.67,174.1,0.1642
2,06/15/21 11:02:15 AM,0.00,0.00,903.1,1.34,2.67,183.9,0.1642
3,06/15/21 11:07:15 AM,0.00,0.00,913.1,1.00,2.00,185.3,0.1638
4,06/15/21 11:12:15 AM,0.00,0.00,929.4,1.00,2.34,179.7,0.1638
5,06/15/21 11:17:15 AM,0.00,0.00,935.6,1.00,2.34,158.6,0.1642
6,06/15/21 11:22:15 AM,0.00,0.00,941.9,1.00,2.00,91.3,0.1638
7,06/15/21 11:27:15 AM,0.00,0.00,951.9,2.34,4.68,324.3,0.1642
8,06/15/21 11:32:15 AM,0.00,0.00,953.1,3.34,6.01,328.5,0.1648
9,06/15/21 11:37:15 AM,0.00,0.00,966.9,3.01,6.01,331.3,0.1648
10,06/15/21 11:42:15 AM,0.00,0.00,979.4,3.01,5.34,332.7,0.1648
11,06/15/21 11:47:15 AM,0.00,0.00,990.6,3.67,5.34,334.1,0.1648
12,06/15/21 11:52:15 AM,0.00,0.00,996.9,2.00,4.34,335.5,0.1642
13,06/15/21 11:57:15 AM,0.00,0.00,998.1,2.67,5.01,335.5,0.1648
14,06/15/21 12:02:15 PM,0.00,0.00,1006.9,2.67,5.68,335.5,0.1642
15,06/15/21 12:07:15 PM,0.00,0.00,1013.1,2.67,5.01,329.9,0.1648
16,06/15/21 12:12:15 PM,0.00,0.00,1021.9,2.34,5.68,335.5,0.1648
17,06/15/21 12:17:15 PM,0.00,0.00,1021.9,1.67,6.35,256.9,0.1648
18,06/15/21 12:22:15 PM,0.00,0.00,1016.9,2.34,7.01,304.7,0.1652
19,06/15/21 12:27:15 PM,0.00,0.00,1020.6,3.34,6.01,324.3,0.1652
20,06/15/21 12:32:15 PM,0.00,0.00,1040.6,3.34,7.01,341.2,0.1652
21,06/15/21 12:37:15 PM,0.00,0.00,1043.1,3.01,6.01,336.9,0.1656
22,06/15/21 12:42:15 PM,0.00,0.00,1039.4,2.00,3.34,304.7,0.1656
23,06/15/21 12:47:15 PM,0.00,0.00,1038.1,2.00,5.34,345.4,0.1656
24,06/15/21 12:52:15 PM,0.00,0.00,1031.9,3.01,7.35,334.1,0.1656
25,06/15/21 12:57:15 PM,0.00,0.00,1039.4,2.67,5.34,336.9,0.1656
26,06/15/21 01:02:15 PM,0.00,0.00,1041.9,2.00,4.68,339.7,0.1663
27,06/15/21 01:07:15 PM,0.00,0.00,1036.9,2.67,6.35,335.5,0.1663
28,06/15/21 01:12:15 PM,0.00,0.00,1048.1,3.34,6.01,299.0,0.1663
29,06/15/21 01:17:15 PM,0.00,0.00,1046.9,1.67,4.34,336.9,0.1656
30,06/15/21 01:22:15 PM,0.00,0.00,1043.1,3.01,6.68,311.7,0.1663
31,06/15/21 01:27:15 PM,0.00,0.00,1044.4,3.01,6.01,341.2,0.1663
32,06/15/21 01:32:15 PM,0.00,0.00,1053.1,2.67,5.01,314.5,0.1663
33,06/15/21 01:37:15 PM,0.00,0.00,1045.6,1.34,6.01,335.5,0.1663
34,06/15/21 01:42:15 PM,0.00,0.00,1041.9,3.34,7.35,344.0,0.1663
35,06/15/21 01:47:15 PM,0.00,0.00,1033.1,3.67,8.35,329.9,0.1663
36,06/15/21 01:52:15 PM,0.00,0.00,1028.1,4.01,7.01,329.9,0.1663
37,06/15/21 01:57:15 PM,0.00,0.00,1016.9,3.01,5.68,329.9,0.1663
38,06/15/21 02:02:15 PM,0.00,0.00,1013.1,2.67,6.01,334.1,0.1663
39,06/15/21 02:07:15 PM,0.00,0.00,1010.6,2.00,5.01,355.2,0.1663
40,06/15/21 02:12:15 PM,0.00,0.00,1010.6,3.34,6.68,342.6,0.1663
41,06/15/21 02:17:15 PM,0.00,0.00,979.4,2.34,4.68,2.8,0.1663
42,06/15/21 02:22:15 PM,0.00,0.00,966.9,2.67,5.01,341.2,0.1663
43,06/15/21 02:27:15 PM,0.00,0.00,968.1,3.01,6.35,341.2,0.1663
44,06/15/21 02:32:15 PM,0.00,0.00,969.4,2.34,5.34,7.0,0.1663
45,06/15/21 02:37:15 PM,0.00,0.00,949.4,3.67,5.68,338.3,0.1663
46,06/15/21 02:42:15 PM,0.00,0.00,945.6,3.01,6.68,317.3,0.1663
47,06/15/21 02:47:15 PM,0.00,0.00,936.9,3.01,6.68,331.3,0.1656
48,06/15/21 02:52:15 PM,0.00,0.00,936.9,5.01,8.68,329.9,0.1663
49,06/15/21 02:57:15 PM,0.00,0.00,928.1,3.67,6.35,327.1,0.1663
50,06/15/21 03:02:15 PM,0.00,0.00,926.9,3.67,5.34,329.9,0.1663
51,06/15/21 03:07:15 PM,0.00,0.00,903.1,3.34,7.01,336.9,0.1663
52,06/15/21 03:12:15 PM,0.00,0.00,885.6,3.34,6.35,336.9,0.1663
53,06/15/21 03:17:15 PM,0.00,0.00,881.9,3.01,5.01,310.3,0.1663
54,06/15/21 03:22:15 PM,0.00,0.00,871.9,3.01,5.68,329.9,0.1663
55,06/15/21 03:27:15 PM,0.00,0.00,856.9,3.67,7.35,336.9,0.1663
56,06/15/21 03:32:15 PM,0.00,0.00,851.9,3.34,6.68,310.3,0.1663
57,06/15/21 03:37:15 PM,0.00,0.00,835.6,2.67,4.68,338.3,0.1663
58,06/15/21 03:42:15 PM,0.00,0.00,824.4,2.67,5.01,344.0,0.1663
59,06/15/21 03:47:15 PM,0.00,0.00,811.9,4.34,7.35,342.6,0.1667
60,06/15/21 03:52:15 PM,0.00,0.00,799.4,4.34,7.01,336.9,0.1663
61,06/15/21 03:57:15 PM,0.00,0.00,786.9,3.34,6.01,334.1,0.1663
62,06/15/21 04:02:15 PM,0.00,0.00,775.6,3.01,6.01,338.3,0.1667
63,06/15/21 04:07:15 PM,0.00,0.00,764.4,2.00,3.67,304.7,0.1663
64,06/15/21 04:12:15 PM,0.00,0.00,750.6,3.67,6.01,321.5,0.1667
65,06/15/21 04:17:15 PM,0.00,0.00,736.9,3.34,6.68,314.5,0.1667
66,06/15/21 04:22:15 PM,0.00,0.00,719.4,2.67,6.68,1.4,0.1663
67,06/15/21 04:27:15 PM,0.00,0.00,698.1,4.34,8.68,331.3,0.1667
68,06/15/21 04:32:15 PM,0.00,0.00,680.6,2.67,4.68,331.3,0.1667
69,06/15/21 04:37:15 PM,0.00,0.00,666.9,2.00,5.34,327.1,0.1667
70,06/15/21 04:42:15 PM,0.00,0.00,656.9,3.67,7.01,345.4,0.1667
71,06/15/21 04:47:15 PM,0.00,0.00,644.4,2.00,4.34,348.2,0.1667
72,06/15/21 04:52:15 PM,0.00,0.00,629.4,1.67,3.34,329.9,0.1667
73,06/15/21 04:57:15 PM,0.00,0.00,624.4,2.34,5.01,348.2,0.1667
74,06/15/21 05:02:15 PM,0.00,0.00,604.4,3.01,5.68,332.7,0.1667
75,06/15/21 05:07:15 PM,0.00,0.00,594.4,4.34,7.01,328.5,0.1671
76,06/15/21 05:12:15 PM,0.00,0.00,579.4,4.68,6.35,336.9,0.1671
77,06/15/21 05:17:15 PM,0.00,0.00,553.1,3.34,6.01,334.1,0.1671
78,06/15/21 05:22:15 PM,0.00,0.00,531.9,3.34,5.01,327.1,0.1671
79,06/15/21 05:27:15 PM,0.00,0.00,514.4,3.34,6.01,327.1,0.1671
80,06/15/21 05:32:15 PM,0.00,0.00,493.1,4.68,7.01,334.1,0.1671
81,06/15/21 05:37:15 PM,0.00,0.00,478.1,3.67,5.34,324.3,0.1671
82,06/15/21 05:42:15 PM,0.00,0.00,461.9,2.67,4.34,324.3,0.1671
83,06/15/21 05:47:15 PM,0.00,0.00,440.6,2.34,3.34,327.1,0.1671
84,06/15/21 05:52:15 PM,0.00,0.00,423.1,2.34,4.34,322.9,0.1671
85,06/15/21 05:57:15 PM,0.00,0.00,410.6,2.67,5.34,327.1,0.1677
86,06/15/21 06:02:15 PM,0.00,0.00,391.9,3.67,6.01,336.9,0.1671
87,06/15/21 06:07:15 PM,0.00,0.00,370.6,3.34,6.01,329.9,0.1671
88,06/15/21 06:12:15 PM,0.00,0.00,344.4,3.34,5.01,331.3,0.1677
89,06/15/21 06:17:15 PM,0.00,0.00,328.1,2.67,5.34,338.3,0.1677
90,06/15/21 06:22:15 PM,0.00,0.00,308.1,2.67,4.34,329.9,0.1677
91,06/15/21 06:27:15 PM,0.00,0.00,294.4,3.67,6.01,314.5,0.1677
92,06/15/21 06:32:15 PM,0.00,0.00,288.1,2.67,4.01,334.1,0.1677
93,06/15/21 06:37:15 PM,0.00,0.00,275.6,2.34,3.67,327.1,0.1677
94,06/15/21 06:42:15 PM,0.00,0.00,249.4,3.01,5.01,329.9,0.1677
95,06/15/21 06:47:15 PM,0.00,0.00,213.1,2.67,3.67,331.3,0.1681
96,06/15/21 06:52:15 PM,0.00,0.00,191.9,2.00,3.34,332.7,0.1681
97,06/15/21 06:57:15 PM,0.00,0.00,164.4,2.00,2.67,336.9,0.1681
98,06/15/21 07:02:15 PM,0.00,0.00,141.9,2.00,3.01,339.7,0.1681
99,06/15/21 07:07:15 PM,0.00,0.00,96.9,2.00,3.01,344.0,0.1681
100,06/15/21 07:12:15 PM,0.00,0.00,64.4,1.34,3.34,349.6,0.1681
101,06/15/21 07:17:15 PM,0.00,0.00,48.1,0.67,2.00,7.0,0.1681
102,06/15/21 07:22:15 PM,0.00,0.00,41.9,0.67,1.34,22.5,0.1681
103,06/15/21 07:27:15 PM,0.00,0.00,39.4,1.00,2.00,28.1,0.1685
104,06/15/21 07:32:15 PM,0.00,0.00,36.9,1.00,2.00,9.8,0.1685
105,06/15/21 07:37:15 PM,0.00,0.00,35.6,0.67,1.00,5.6,0.1685
106,06/15/21 07:42:15 PM,0.00,0.00,36.9,0.67,1.34,5.6,0.1685
107,06/15/21 07:47:15 PM,0.00,0.00,39.4,0.67,1.34,9.8,0.1685
108,06/15/21 07:52:15 PM,0.00,0.00,40.6,1.00,2.00,12.6,0.1685
109,06/15/21 07:57:15 PM,0.00,0.00,40.6,1.00,1.67,7.0,0.1685
110,06/15/21 08:02:15 PM,0.00,0.00,39.4,1.00,1.67,12.6,0.1685
111,06/15/21 08:07:15 PM,0.00,0.00,36.9,1.00,1.34,11.2,0.1685
112,06/15/21 08:12:15 PM,0.00,0.00,31.9,1.00,1.34,12.6,0.1685
113,06/15/21 08:17:15 PM,0.00,0.00,24.4,1.00,1.67,9.8,0.1685
114,06/15/21 08:22:15 PM,0.00,0.00,18.1,1.00,1.67,5.6,0.1685
115,06/15/21 08:27:15 PM,0.00,0.00,13.1,1.34,2.00,18.3,0.1685
116,06/15/21 08:32:15 PM,0.00,0.00,8.1,1.34,2.00,9.8,0.1685
117,06/15/21 08:37:15 PM,0.00,0.00,4.4,1.34,1.67,9.8,0.1685
118,06/15/21 08:42:15 PM,0.00,0.00,0.6,1.00,1.34,16.8,0.1689
119,06/15/21 08:47:15 PM,0.00,0.00,0.6,1.34,1.67,11.2,0.1685
120,06/15/21 08:52:15 PM,0.00,0.00,0.6,1.00,1.67,18.3,0.1685
121,06/15/21 08:57:15 PM,0.00,0.00,0.6,1.00,1.34,15.4,0.1685
122,06/15/21 09:02:15 PM,0.00,0.00,0.6,1.00,2.00,15.4,0.1685
123,06/15/21 09:07:15 PM,0.00,0.00,0.6,1.34,1.67,18.3,0.1685
124,06/15/21 09:12:15 PM,0.00,0.00,0.6,1.00,1.67,4.2,0.1685
125,06/15/21 09:17:15 PM,0.00,0.00,0.6,1.00,1.34,8.4,0.1689
126,06/15/21 09:22:15 PM,0.00,0.00,0.6,1.34,1.67,21.1,0.1685
127,06/15/21 09:27:15 PM,0.00,0.00,0.6,1.00,1.67,16.8,0.1685
128,06/15/21 09:32:15 PM,0.00,0.00,0.6,1.34,1.67,16.8,0.1689
129,06/15/21 09:37:15 PM,0.00,0.00,0.6,1.34,2.00,16.8,0.1689
130,06/15/21 09:42:15 PM,0.00,0.00,0.6,1.34,2.00,18.3,0.1689
131,06/15/21 09:47:15 PM,0.00,0.00,0.6,1.34,1.67,15.4,0.1689
132,06/15/21 09:52:15 PM,0.00,0.00,0.6,1.34,2.00,15.4,0.1689
133,06/15/21 09:57:15 PM,0.00,0.00,0.6,1.00,1.67,7.0,0.1689
134,06/15/21 10:02:15 PM,0.00,0.00,0.6,1.00,1.67,9.8,0.1689
135,06/15/21 10:07:15 PM,0.00,0.00,0.6,1.00,1.67,7.0,0.1689
136,06/15/21 10:12:15 PM,0.00,0.00,0.6,1.00,2.00,9.8,0.1689
137,06/15/21 10:17:15 PM,0.00,0.00,0.6,1.00,1.67,4.2,0.1689
138,06/15/21 10:22:15 PM,0.00,0.00,0.6,1.00,1.34,7.0,0.1685
139,06/15/21 10:27:15 PM,0.00,0.00,0.6,1.00,1.34,11.2,0.1689
140,06/15/21 10:32:15 PM,0.00,0.00,0.6,1.34,1.67,8.4,0.1689
141,06/15/21 10:37:15 PM,0.00,0.00,0.6,1.34,2.34,4.2,0.1689
142,06/15/21 10:42:15 PM,0.00,0.00,0.6,1.34,2.34,2.8,0.1689
143,06/15/21 10:47:15 PM,0.00,0.00,0.6,1.34,2.67,19.7,0.1689
144,06/15/21 10:52:15 PM,0.00,0.00,0.6,1.34,2.67,7.0,0.1689
145,06/15/21 10:57:15 PM,0.00,0.00,0.6,1.34,1.67,7.0,0.1689
146,06/15/21 11:02:15 PM,0.00,0.00,0.6,1.00,2.00,2.8,0.1689
147,06/15/21 11:07:15 PM,0.00,0.00,0.6,1.34,2.34,355.2,0.1689
148,06/15/21 11:12:15 PM,0.00,0.00,0.6,1.34,2.00,348.2,0.1685
149,06/15/21 11:17:15 PM,0.00,0.00,0.6,1.34,1.67,4.2,0.1689
150,06/15/21 11:22:15 PM,0.00,0.00,0.6,1.34,1.67,8.4,0.1689
151,06/15/21 11:27:15 PM,0.00,0.00,0.6,1.34,1.67,9.8,0.1689
152,06/15/21 11:32:15 PM,0.00,0.00,0.6,1.34,1.67,8.4,0.1689
153,06/15/21 11:37:15 PM,0.00,0.00,0.6,1.34,2.00,12.6,0.1689
154,06/15/21 11:42:15 PM,0.00,0.00,0.6,1.00,1.67,8.4,0.1689
155,06/15/21 11:47:15 PM,0.00,0.00,0.6,1.00,1.67,355.2,0.1689
156,06/15/21 11:52:15 PM,0.00,0.00,0.6,1.34,1.67,14.0,0.1689
157,06/15/21 11:57:15 PM,0.00,0.00,0.6,1.34,2.00,16.8,0.1689
158,06/16/21 12:02:15 AM,0.00,0.00,0.6,1.00,1.67,0.0,0.1689
159,06/16/21 12:07:15 AM,0.00,0.00,0.6,1.34,1.67,5.6,0.1689
160,06/16/21 12:12:15 AM,0.00,0.00,0.6,1.34,2.00,2.8,0.1689
161,06/16/21 12:17:15 AM,0.00,0.00,0.6,1.34,2.00,1.4,0.1689
162,06/16/21 12:22:15 AM,0.00,0.00,0.6,1.00,1.67,7.0,0.1689
163,06/16/21 12:27:15 AM,0.00,0.00,0.6,1.00,1.67,2.8,0.1685
164,06/16/21 12:32:15 AM,0.00,0.00,0.6,1.34,2.00,7.0,0.1689
165,06/16/21 12:37:15 AM,0.00,0.00,0.6,1.34,2.00,8.4,0.1685
166,06/16/21 12:42:15 AM,0.00,0.00,0.6,1.34,1.67,11.2,0.1685
167,06/16/21 12:47:15 AM,0.00,0.00,0.6,1.00,1.67,8.4,0.1689
168,06/16/21 12:52:15 AM,0.00,0.00,0.6,1.34,1.67,7.0,0.1689
169,06/16/21 12:57:15 AM,0.00,0.00,0.6,1.34,2.00,9.8,0.1689
170,06/16/21 01:02:15 AM,0.00,0.00,0.6,1.00,2.00,2.8,0.1689
171,06/16/21 01:07:15 AM,0.00,0.00,0.6,1.00,1.67,11.2,0.1689
172,06/16/21 01:12:15 AM,0.00,0.00,0.6,0.67,1.00,16.8,0.1689
173,06/16/21 01:17:15 AM,0.00,0.00,0.6,0.67,1.34,21.1,0.1689
174,06/16/21 01:22:15 AM,0.00,0.00,0.6,1.00,1.34,22.5,0.1685
175,06/16/21 01:27:15 AM,0.00,0.00,0.6,1.34,1.67,18.3,0.1685
176,06/16/21 01:32:15 AM,0.00,0.00,0.6,1.00,1.34,21.1,0.1689
177,06/16/21 01:37:15 AM,0.00,0.00,0.6,1.00,1.34,16.8,0.1689
178,06/16/21 01:42:15 AM,0.00,0.00,0.6,1.00,1.34,9.8,0.1685
179,06/16/21 01:47:15 AM,0.00,0.00,0.6,1.00,1.67,12.6,0.1685
180,06/16/21 01:52:15 AM,0.00,0.00,0.6,1.00,1.34,11.2,0.1685
181,06/16/21 01:57:15 AM,0.00,0.00,0.6,1.00,1.34,9.8,0.1685
182,06/16/21 02:02:15 AM,0.00,0.00,0.6,1.34,1.67,14.0,0.1685
183,06/16/21 02:07:15 AM,0.00,0.00,0.6,1.00,1.67,7.0,0.1685
184,06/16/21 02:12:15 AM,0.00,0.00,0.6,1.34,1.67,14.0,0.1685
185,06/16/21 02:17:15 AM,0.00,0.00,0.6,1.34,1.67,16.8,0.1689
186,06/16/21 02:22:15 AM,0.00,0.00,0.6,1.34,1.67,8.4,0.1685
187,06/16/21 02:27:15 AM,0.00,0.00,0.6,1.34,2.00,9.8,0.1685
188,06/16/21 02:32:15 AM,0.00,0.00,0.6,1.34,2.00,15.4,0.1685
189,06/16/21 02:37:15 AM,0.00,0.00,0.6,1.34,1.67,15.4,0.1685
190,06/16/21 02:42:15 AM,0.00,0.00,0.6,1.34,2.00,9.8,0.1685
191,06/16/21 02:47:15 AM,0.00,0.00,0.6,1.34,2.00,9.8,0.1685
192,06/16/21 02:52:15 AM,0.00,0.00,0.6,1.34,1.67,12.6,0.1685
193,06/16/21 02:57:15 AM,0.00,0.00,0.6,1.00,1.67,14.0,0.1689
194,06/16/21 03:02:15 AM,0.00,0.00,0.6,1.34,1.67,7.0,0.1685
195,06/16/21 03:07:15 AM,0.00,0.00,0.6,1.34,1.67,9.8,0.1685
196,06/16/21 03:12:15 AM,0.00,0.00,0.6,1.34,1.67,9.8,0.1685
197,06/16/21 03:17:15 AM,0.00,0.00,0.6,1.34,1.67,7.0,0.1685
198,06/16/21 03:22:15 AM,0.00,0.00,0.6,1.34,2.00,14.0,0.1685
199,06/16/21 03:27:15 AM,0.00,0.00,0.6,1.34,2.00,15.4,0.1685
200,06/16/21 03:32:15 AM,0.00,0.00,0.6,1.34,1.67,8.4,0.1685
201,06/16/21 03:37:15 AM,0.00,0.00,0.6,1.67,2.34,15.4,0.1685
202,06/16/21 03:42:15 AM,0.00,0.00,0.6,1.34,1.67,15.4,0.1685
