"Plot Title: Cement Creek"
"#","Date Time, GMT-06:00","Wetness, % (LGR S/N: 20871535, SEN S/N: 20851353)","Rain, mm (LGR S/N: 20871535, SEN S/N: 20864342)","Solar Radiation, W/m² (LGR S/N: 20871535, SEN S/N: 20870907)","Wind Speed, m/s (LGR S/N: 20871535, SEN S/N: 20871372)","Gust Speed, m/s (LGR S/N: 20871535, SEN S/N: 20871372)","Wind Direction, ø (LGR S/N: 20871535, SEN S/N: 20871372)","Water Content, m³/m³ (LGR S/N: 20871535, SEN S/N: 20871579)"
1,06/17/21 11:19:33 AM,0.00,,930.6,0.67,1.67,200.8,0.0725
2,06/17/21 11:24:33 AM,0.00,0.00,935.6,1.00,2.00,203.6,0.0725
3,06/17/21 11:29:33 AM,0.00,0.00,944.4,0.67,2.34,189.5,0.0725
4,06/17/21 11:34:33 AM,0.00,0.00,954.4,1.34,2.34,205.0,0.0725
5,06/17/21 11:39:33 AM,0.00,0.00,963.1,1.00,2.34,209.2,0.0725
6,06/17/21 11:44:33 AM,0.00,0.00,975.6,1.34,3.01,209.2,0.0725
7,06/17/21 11:49:33 AM,0.00,0.00,988.1,1.67,3.01,210.6,0.0725
8,06/17/21 11:54:33 AM,0.00,0.00,986.9,1.34,2.34,207.8,0.0725
9,06/17/21 11:59:33 AM,0.00,0.00,1011.9,0.67,1.67,196.5,0.0732
10,06/17/21 12:04:33 PM,0.00,0.00,1029.4,0.67,2.00,210.6,0.0732
11,06/17/21 12:09:33 PM,0.00,0.00,990.6,1.34,2.00,202.2,0.0732
12,06/17/21 12:14:33 PM,0.00,0.00,1016.9,1.00,3.01,202.2,0.0732
13,06/17/21 12:19:33 PM,0.00,0.00,1061.9,1.34,3.67,202.2,0.0732
14,06/17/21 12:24:33 PM,0.00,0.00,1058.1,1.34,2.67,202.2,0.0732
15,06/17/21 12:29:33 PM,0.00,0.00,1046.9,1.00,2.34,169.9,0.0738
16,06/17/21 12:34:33 PM,0.00,0.00,1099.4,1.00,2.34,210.6,0.0738
17,06/17/21 12:39:33 PM,0.00,0.00,439.4,0.67,2.00,206.4,0.0738
18,06/17/21 12:44:33 PM,0.00,0.00,188.1,0.67,1.67,199.4,0.0732
19,06/17/21 12:49:33 PM,0.00,0.00,189.4,0.33,1.34,185.3,0.0732
20,06/17/21 12:54:33 PM,0.00,0.00,201.9,0.00,0.67,176.9,0.0732
21,06/17/21 12:59:33 PM,0.00,0.00,191.9,0.00,0.33,167.1,0.0732
22,06/17/21 01:04:33 PM,0.00,0.00,183.1,0.00,0.67,192.3,0.0732
23,06/17/21 01:09:33 PM,1.18,0.00,183.1,0.33,0.67,183.9,0.0725
24,06/17/21 01:14:33 PM,0.00,0.00,190.6,0.33,1.00,153.0,0.0725
25,06/17/21 01:19:33 PM,0.00,0.00,190.6,0.00,0.00,165.7,0.0725
26,06/17/21 01:24:33 PM,0.00,0.00,185.6,0.00,0.67,143.2,0.0725
27,06/17/21 01:29:33 PM,0.00,0.00,228.1,0.00,0.33,143.2,0.0725
28,06/17/21 01:34:33 PM,0.00,0.00,301.9,0.00,0.33,155.8,0.0725
29,06/17/21 01:39:33 PM,0.00,0.00,661.9,0.00,0.67,181.1,0.0725
30,06/17/21 01:44:33 PM,0.00,0.00,621.9,0.33,1.67,216.2,0.0725
31,06/17/21 01:49:33 PM,0.00,0.00,350.6,0.33,1.00,183.9,0.0725
32,06/17/21 01:54:33 PM,0.00,0.00,399.4,1.00,2.67,183.9,0.0725
33,06/17/21 01:59:33 PM,0.00,0.00,794.4,1.00,2.34,216.2,0.0725
34,06/17/21 02:04:33 PM,0.00,0.00,818.1,0.67,2.00,202.2,0.0725
35,06/17/21 02:09:33 PM,0.00,0.00,701.9,0.33,1.34,81.4,0.0732
36,06/17/21 02:14:33 PM,0.00,0.00,950.6,1.00,2.00,198.0,0.0732
37,06/17/21 02:19:33 PM,0.00,0.00,755.6,0.67,2.00,182.5,0.0732
38,06/17/21 02:24:33 PM,0.00,0.00,675.6,1.00,2.67,198.0,0.0732
39,06/17/21 02:29:33 PM,0.00,0.00,734.4,1.00,2.34,206.4,0.0732
40,06/17/21 02:34:33 PM,0.00,0.00,794.4,0.67,1.34,176.9,0.0732
41,06/17/21 02:39:33 PM,0.00,0.00,848.1,1.34,3.01,202.2,0.0738
42,06/17/21 02:44:33 PM,0.00,0.00,911.9,1.34,2.67,200.8,0.0738
43,06/17/21 02:49:33 PM,0.00,0.00,1000.6,2.00,3.34,203.6,0.0738
44,06/17/21 02:54:33 PM,0.00,0.00,696.9,1.34,3.67,190.9,0.0738
45,06/17/21 02:59:33 PM,0.00,0.00,289.4,1.00,2.34,167.1,0.0738
46,06/17/21 03:04:33 PM,0.00,0.00,258.1,1.00,2.00,175.5,0.0738
47,06/17/21 03:09:33 PM,0.00,0.00,845.6,0.67,1.67,182.5,0.0738
48,06/17/21 03:14:33 PM,0.00,0.00,375.6,1.00,2.00,190.9,0.0738
49,06/17/21 03:19:33 PM,0.00,0.00,245.6,1.00,2.34,209.2,0.0738
50,06/17/21 03:24:33 PM,0.00,0.00,251.9,1.00,2.34,214.8,0.0738
