"Plot Title: Gothic Mountain"
"#","Date Time, GMT-06:00","Wetness, % (LGR S/N: 20871534, SEN S/N: 20851355)","Rain, mm (LGR S/N: 20871534, SEN S/N: 20864339)","Solar Radiation, W/m² (LGR S/N: 20871534, SEN S/N: 20870905)","Wind Speed, m/s (LGR S/N: 20871534, SEN S/N: 20871371)","Gust Speed, m/s (LGR S/N: 20871534, SEN S/N: 20871371)","Wind Direction, ø (LGR S/N: 20871534, SEN S/N: 20871371)","Water Content, m³/m³ (LGR S/N: 20871534, SEN S/N: 20871581)"
1,06/16/21 11:38:52 AM,0.00,,988.1,0.67,1.34,147.4,0.2078
2,06/16/21 11:43:52 AM,0.00,0.00,1004.4,1.00,3.01,127.8,0.2083
3,06/16/21 11:48:52 AM,0.00,0.00,1016.9,1.00,2.67,139.0,0.2083
4,06/16/21 11:53:52 AM,0.00,0.00,956.9,1.00,2.00,151.6,0.2087
5,06/16/21 11:58:52 AM,0.00,0.00,1016.9,1.00,2.00,134.8,0.2087
6,06/16/21 12:03:52 PM,0.00,0.00,966.9,1.34,2.67,155.8,0.2087
7,06/16/21 12:08:52 PM,0.00,0.00,1030.6,0.67,2.34,157.2,0.2087
8,06/16/21 12:13:52 PM,0.00,0.00,1009.4,0.67,2.00,148.8,0.2092
9,06/16/21 12:18:52 PM,0.00,0.00,1079.4,1.00,3.67,143.2,0.2092
10,06/16/21 12:23:52 PM,0.00,0.00,321.9,1.00,2.67,68.8,0.2092
11,06/16/21 12:28:52 PM,0.00,0.00,461.9,1.00,2.34,94.1,0.2092
12,06/16/21 12:33:52 PM,0.00,0.00,1114.4,1.00,1.67,137.6,0.2095
13,06/16/21 12:38:52 PM,0.00,0.00,1015.6,0.67,1.67,115.1,0.2095
14,06/16/21 12:43:52 PM,0.00,0.00,259.4,1.00,1.67,110.9,0.2092
15,06/16/21 12:48:52 PM,0.00,0.00,433.1,0.67,1.67,115.1,0.2095
16,06/16/21 12:53:52 PM,0.00,0.00,934.4,0.33,1.67,113.7,0.2095
