Serial Number:20638359 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Host Connect","EOF"
2021-06-12 14:40:37,25.62,15.63,-2.36, , 
2021-06-12 14:45:37,24.34,17.12,-2.16, , 
2021-06-12 14:50:37,23.91,19.12,-1.01, , 
2021-06-12 14:55:37,24.03,16.74,-2.72, , 
2021-06-12 15:00:37,24.29,19.93,-0.14, , 
2021-06-12 15:05:37,24.57,18.55,-0.89, , 
2021-06-12 15:10:37,25.00,16.78,-1.91, , 
2021-06-12 15:15:37,25.30,16.33,-2.03, , 
2021-06-12 15:20:37,24.88,16.30,-2.39, , 
2021-06-12 15:25:37,24.95,16.33,-2.30, , 
2021-06-12 15:30:37,24.85,14.02,-4.43, , 
2021-06-12 15:35:37,24.77,18.50,-0.76, , 
2021-06-12 15:40:37,24.56,17.65,-1.57, , 
2021-06-12 15:45:37,24.84,15.75,-2.89, , 
2021-06-12 15:50:37,24.73,18.76,-0.60, , 
2021-06-12 15:55:37,25.06,16.04,-2.46, , 
2021-06-12 16:00:37,24.97,14.29,-4.08, , 
2021-06-12 16:05:37,24.88,16.95,-1.87, , 
2021-06-12 16:10:37,24.54,16.34,-2.63, , 
2021-06-12 16:15:37,24.72,16.07,-2.71, , 
2021-06-12 16:20:37,24.84,18.22,-0.92, , 
2021-06-12 16:25:37,24.70,15.55,-3.17, , 
2021-06-12 16:30:37,24.90,15.78,-2.81, , 
2021-06-12 16:35:37,24.82,16.50,-2.28, , 
2021-06-12 16:40:37,24.66,14.86,-3.80, , 
2021-06-12 16:45:37,24.40,18.46,-1.09, , 
2021-06-12 16:50:37,24.39,14.99,-3.91, , 
2021-06-12 16:55:37,24.05,16.63,-2.79, , 
2021-06-12 17:00:37,24.30,14.89,-4.07, , 
2021-06-12 17:05:37,24.44,15.16,-3.71, , 
2021-06-12 17:10:37,24.50,16.72,-2.35, , 
2021-06-12 17:15:37,24.90,13.50,-4.89, , 
2021-06-12 17:20:37,24.64,13.62,-4.98, , 
2021-06-12 17:25:37,25.13,13.97,-4.26, , 
2021-06-12 17:30:37,25.29,19.35,0.28, , 
2021-06-12 17:35:37,25.30,14.47,-3.66, , 
2021-06-12 17:40:37,25.64,15.79,-2.21, , 
