"Plot Title: High Meadow"
"#","Date Time, GMT-06:00","Wetness, % (LGR S/N: 20871533, SEN S/N: 20851356)","Rain, mm (LGR S/N: 20871533, SEN S/N: 20864340)","Solar Radiation, W/m² (LGR S/N: 20871533, SEN S/N: 20870904)","Wind Speed, m/s (LGR S/N: 20871533, SEN S/N: 20871374)","Gust Speed, m/s (LGR S/N: 20871533, SEN S/N: 20871374)","Wind Direction, ø (LGR S/N: 20871533, SEN S/N: 20871374)","Water Content, m³/m³ (LGR S/N: 20871533, SEN S/N: 20871582)"
1,06/21/21 12:30:06 PM,0.00,,1276.9,2.34,7.68,233.1,0.1954
2,06/21/21 12:35:06 PM,0.00,0.00,1069.4,2.34,6.01,212.0,0.1945
3,06/21/21 12:40:06 PM,0.00,0.00,1070.6,1.67,5.68,262.5,0.1945
4,06/21/21 12:45:06 PM,0.00,0.00,1074.4,2.00,6.35,231.6,0.1948
5,06/21/21 12:50:06 PM,0.00,0.00,1075.6,2.00,4.34,235.9,0.1948
6,06/21/21 12:55:06 PM,0.00,0.00,1074.4,2.00,6.68,206.4,0.1954
7,06/21/21 01:00:06 PM,0.00,0.00,1078.1,2.00,5.01,216.2,0.1954
8,06/21/21 01:05:06 PM,0.00,0.00,1080.6,1.67,5.34,241.5,0.1954
9,06/21/21 01:10:06 PM,0.00,0.00,1078.1,1.67,6.35,228.8,0.1954
10,06/21/21 01:15:06 PM,0.00,0.00,1081.9,2.00,6.01,238.7,0.1963
11,06/21/21 01:20:06 PM,0.00,0.00,1076.9,1.67,5.01,223.2,0.1963
12,06/21/21 01:25:06 PM,0.00,0.00,1076.9,1.67,4.34,247.1,0.1963
13,06/21/21 01:30:06 PM,0.00,0.00,1074.4,1.34,5.01,230.2,0.1958
14,06/21/21 01:35:06 PM,0.00,0.00,1074.4,1.34,4.01,228.8,0.1963
15,06/21/21 01:40:06 PM,0.00,0.00,1073.1,1.34,2.34,233.1,0.1963
16,06/21/21 01:45:06 PM,0.00,0.00,1069.4,1.67,4.01,221.8,0.1963
17,06/21/21 01:50:06 PM,0.00,0.00,1065.6,1.34,6.35,237.3,0.1963
18,06/21/21 01:55:06 PM,0.00,0.00,1064.4,1.00,2.34,247.1,0.1967
19,06/21/21 02:00:06 PM,0.00,0.00,1056.9,1.34,3.67,221.8,0.1967
20,06/21/21 02:05:06 PM,0.00,0.00,1051.9,1.67,4.01,219.0,0.1963
21,06/21/21 02:10:06 PM,0.00,0.00,1043.1,1.34,4.34,206.4,0.1963
22,06/21/21 02:15:06 PM,0.00,0.00,1035.6,1.67,5.01,205.0,0.1963
23,06/21/21 02:20:06 PM,0.00,0.00,1029.4,1.34,3.67,259.7,0.1967
24,06/21/21 02:25:06 PM,0.00,0.00,1020.6,1.00,4.34,234.5,0.1963
25,06/21/21 02:30:06 PM,0.00,0.00,1009.4,1.67,4.68,231.6,0.1963
26,06/21/21 02:35:06 PM,0.00,0.00,1001.9,2.00,7.01,266.7,0.1963
27,06/21/21 02:40:06 PM,0.00,0.00,988.1,1.00,3.67,185.3,0.1972
28,06/21/21 02:45:06 PM,0.00,0.00,979.4,1.67,4.01,234.5,0.1972
29,06/21/21 02:50:06 PM,0.00,0.00,973.1,1.00,4.01,266.7,0.1976
30,06/21/21 02:55:06 PM,0.00,0.00,958.1,1.34,2.67,237.3,0.1976
31,06/21/21 03:00:06 PM,0.00,0.00,946.9,0.67,1.67,172.7,0.1976
32,06/21/21 03:05:06 PM,0.00,0.00,941.9,1.34,5.01,196.5,0.1976
33,06/21/21 03:10:06 PM,0.00,0.00,930.6,1.34,3.34,228.8,0.1981
34,06/21/21 03:15:06 PM,0.00,0.00,916.9,1.67,4.01,190.9,0.1981
35,06/21/21 03:20:06 PM,0.00,0.00,908.1,2.00,3.67,227.4,0.1981
36,06/21/21 03:25:06 PM,0.00,0.00,890.6,1.67,3.34,217.6,0.1981
37,06/21/21 03:30:06 PM,0.00,0.00,883.1,1.34,3.01,190.9,0.1981
38,06/21/21 03:35:06 PM,0.00,0.00,871.9,2.00,4.01,203.6,0.1999
39,06/21/21 03:40:06 PM,0.00,0.00,859.4,2.34,8.35,230.2,0.1972
40,06/21/21 03:45:06 PM,0.00,0.00,849.4,2.34,4.68,230.2,0.1976
41,06/21/21 03:50:06 PM,0.00,0.00,838.1,1.34,3.67,230.2,0.1985
42,06/21/21 03:55:06 PM,0.00,0.00,834.4,1.67,6.01,235.9,0.1985
43,06/21/21 04:00:06 PM,0.00,0.00,819.4,2.00,6.35,219.0,0.1985
44,06/21/21 04:05:06 PM,0.00,0.00,803.1,2.34,5.68,231.6,0.1985
45,06/21/21 04:10:06 PM,0.00,0.00,786.9,2.00,4.34,219.0,0.1994
46,06/21/21 04:15:06 PM,0.00,0.00,778.1,2.34,4.68,230.2,0.1985
47,06/21/21 04:20:06 PM,0.00,0.00,715.6,1.67,5.34,193.7,0.1985
48,06/21/21 04:25:06 PM,0.00,0.00,771.9,1.00,2.67,227.4,0.1981
49,06/21/21 04:30:06 PM,0.00,0.00,760.6,1.00,2.67,263.9,0.1985
50,06/21/21 04:35:06 PM,0.00,0.00,765.6,1.67,4.01,240.1,0.1990
51,06/21/21 04:40:06 PM,0.00,0.00,715.6,3.01,5.68,247.1,0.1990
52,06/21/21 04:45:06 PM,0.00,0.00,694.4,2.34,8.68,216.2,0.1985
53,06/21/21 04:50:06 PM,0.00,0.00,678.1,2.34,5.34,252.7,0.1999
54,06/21/21 04:55:06 PM,0.00,0.00,661.9,2.00,5.01,198.0,0.1999
55,06/21/21 05:00:06 PM,0.00,0.00,660.6,1.67,4.68,249.9,0.1994
56,06/21/21 05:05:06 PM,0.00,0.00,640.6,2.00,4.68,219.0,0.1990
57,06/21/21 05:10:06 PM,0.00,0.00,619.4,2.67,6.01,248.5,0.1994
58,06/21/21 05:15:06 PM,0.00,0.00,614.4,2.67,9.35,242.9,0.1990
59,06/21/21 05:20:06 PM,0.00,0.00,608.1,3.34,9.02,255.5,0.1990
60,06/21/21 05:25:06 PM,0.00,0.00,581.9,2.34,5.34,251.3,0.2003
61,06/21/21 05:30:06 PM,0.00,0.00,564.4,3.34,7.01,249.9,0.2003
62,06/21/21 05:35:06 PM,0.00,0.00,543.1,3.34,9.35,248.5,0.1994
63,06/21/21 05:40:06 PM,0.00,0.00,529.4,3.67,8.68,247.1,0.1990
64,06/21/21 05:45:06 PM,0.00,0.00,509.4,3.34,7.01,224.6,0.1990
65,06/21/21 05:50:06 PM,0.00,0.00,488.1,3.34,7.01,230.2,0.1994
66,06/21/21 05:55:06 PM,0.00,0.00,473.1,3.34,6.01,248.5,0.1999
67,06/21/21 06:00:06 PM,0.00,0.00,459.4,2.00,4.34,213.4,0.2012
68,06/21/21 06:05:06 PM,0.00,0.00,439.4,2.67,7.68,227.4,0.1999
69,06/21/21 06:10:06 PM,0.00,0.00,424.4,3.01,6.68,238.7,0.2012
70,06/21/21 06:15:06 PM,0.00,0.00,409.4,3.01,6.01,244.3,0.2008
71,06/21/21 06:20:06 PM,0.00,0.00,394.4,3.01,7.68,227.4,0.2008
72,06/21/21 06:25:06 PM,0.00,0.00,378.1,3.01,7.68,240.1,0.1999
73,06/21/21 06:30:06 PM,0.00,0.00,360.6,3.34,6.68,247.1,0.2017
74,06/21/21 06:35:06 PM,0.00,0.00,343.1,3.67,7.01,247.1,0.2008
75,06/21/21 06:40:06 PM,0.00,0.00,325.6,1.67,5.68,207.8,0.2012
76,06/21/21 06:45:06 PM,0.00,0.00,308.1,2.67,6.01,223.2,0.2003
77,06/21/21 06:50:06 PM,0.00,0.00,291.9,2.34,5.68,238.7,0.2003
78,06/21/21 06:55:06 PM,0.00,0.00,276.9,2.34,6.68,234.5,0.2020
79,06/21/21 07:00:06 PM,0.00,0.00,261.9,2.00,6.01,255.5,0.2017
80,06/21/21 07:05:06 PM,0.00,0.00,244.4,2.34,7.01,233.1,0.2017
81,06/21/21 07:10:06 PM,0.00,0.00,226.9,1.67,4.34,248.5,0.2020
82,06/21/21 07:15:06 PM,0.00,0.00,210.6,1.00,3.34,251.3,0.2017
83,06/21/21 07:20:06 PM,0.00,0.00,195.6,0.00,0.67,262.5,0.2020
84,06/21/21 07:25:06 PM,0.00,0.00,179.4,0.33,2.00,248.5,0.2020
85,06/21/21 07:30:06 PM,0.00,0.00,165.6,0.33,1.34,256.9,0.2026
86,06/21/21 07:35:06 PM,0.00,0.00,141.9,0.00,1.00,29.5,0.2020
87,06/21/21 07:40:06 PM,0.00,0.00,40.6,0.67,2.67,226.0,0.2008
88,06/21/21 07:45:06 PM,0.00,0.00,46.9,0.00,1.00,133.4,0.2020
89,06/21/21 07:50:06 PM,0.00,0.00,25.6,0.00,0.67,147.4,0.2026
90,06/21/21 07:55:06 PM,0.00,0.00,30.6,0.00,0.67,75.8,0.2012
91,06/21/21 08:00:06 PM,0.00,0.00,15.6,0.33,1.00,216.2,0.2008
92,06/21/21 08:05:06 PM,0.00,0.00,14.4,0.00,0.67,60.4,0.2008
93,06/21/21 08:10:06 PM,0.00,0.00,13.1,0.00,0.33,64.6,0.2008
94,06/21/21 08:15:06 PM,0.00,0.00,10.6,0.00,0.67,8.4,0.2008
95,06/21/21 08:20:06 PM,0.00,0.00,8.1,0.67,1.34,46.3,0.2003
96,06/21/21 08:25:06 PM,0.00,0.00,6.9,0.00,0.33,278.0,0.2003
97,06/21/21 08:30:06 PM,0.00,0.00,4.4,0.00,1.34,279.4,0.1999
98,06/21/21 08:35:06 PM,0.00,0.00,3.1,0.00,0.33,331.3,0.1999
99,06/21/21 08:40:06 PM,0.00,0.00,1.9,0.00,0.33,339.7,0.1999
100,06/21/21 08:45:06 PM,0.00,0.00,0.6,0.00,0.33,355.2,0.1999
101,06/21/21 08:50:06 PM,0.00,0.00,0.6,0.00,0.67,67.4,0.1999
102,06/21/21 08:55:06 PM,0.00,0.00,0.6,0.00,0.67,87.0,0.1999
103,06/21/21 09:00:06 PM,0.00,0.00,0.6,0.00,0.67,87.0,0.1999
104,06/21/21 09:05:06 PM,0.00,0.00,0.6,0.00,0.67,84.2,0.1999
105,06/21/21 09:10:06 PM,0.00,0.00,0.6,0.00,0.67,68.8,0.1999
106,06/21/21 09:15:06 PM,0.00,0.00,0.6,1.00,2.00,60.4,0.1999
107,06/21/21 09:20:06 PM,0.00,0.00,0.6,0.67,2.34,64.6,0.1994
108,06/21/21 09:25:06 PM,0.00,0.00,0.6,0.33,1.34,37.9,0.1999
109,06/21/21 09:30:06 PM,0.00,0.00,0.6,0.00,1.00,355.2,0.1999
110,06/21/21 09:35:06 PM,0.00,0.00,0.6,0.00,0.33,30.9,0.1994
111,06/21/21 09:40:06 PM,0.00,0.00,0.6,0.33,2.00,23.9,0.1994
112,06/21/21 09:45:06 PM,0.00,0.00,0.6,0.00,1.00,353.8,0.1994
113,06/21/21 09:50:06 PM,0.00,0.00,0.6,0.00,0.33,30.9,0.1994
114,06/21/21 09:55:06 PM,0.00,0.00,0.6,0.00,0.67,63.2,0.1994
115,06/21/21 10:00:06 PM,0.00,0.00,0.6,0.00,0.67,56.2,0.1994
116,06/21/21 10:05:06 PM,0.00,0.00,0.6,0.00,0.33,89.9,0.1994
117,06/21/21 10:10:06 PM,0.00,0.00,0.6,0.00,1.00,81.4,0.1994
118,06/21/21 10:15:06 PM,0.00,0.00,0.6,0.33,1.34,33.7,0.1994
119,06/21/21 10:20:06 PM,0.00,0.00,0.6,0.00,0.67,18.3,0.1994
120,06/21/21 10:25:06 PM,0.00,0.00,0.6,0.67,1.34,28.1,0.1990
121,06/21/21 10:30:06 PM,0.00,0.00,0.6,0.33,1.34,12.6,0.1990
122,06/21/21 10:35:06 PM,0.00,0.00,0.6,0.00,0.67,19.7,0.1990
123,06/21/21 10:40:06 PM,0.00,0.00,0.6,0.00,0.33,30.9,0.1990
124,06/21/21 10:45:06 PM,0.00,0.00,0.6,0.00,0.33,36.5,0.1990
125,06/21/21 10:50:06 PM,0.00,0.00,0.6,0.00,0.33,33.7,0.1990
126,06/21/21 10:55:06 PM,0.00,0.00,0.6,0.00,0.67,28.1,0.1990
127,06/21/21 11:00:06 PM,0.00,0.00,0.6,0.00,0.00,18.3,0.1990
128,06/21/21 11:05:06 PM,0.00,0.00,0.6,0.33,1.00,49.1,0.1990
129,06/21/21 11:10:06 PM,0.00,0.00,0.6,0.00,0.33,43.5,0.1985
130,06/21/21 11:15:06 PM,0.00,0.00,0.6,0.00,0.33,36.5,0.1985
131,06/21/21 11:20:06 PM,0.00,0.00,0.6,0.00,0.00,338.3,0.1985
132,06/21/21 11:25:06 PM,0.00,0.00,0.6,0.00,0.67,355.2,0.1985
133,06/21/21 11:30:06 PM,0.00,0.00,0.6,0.00,0.00,355.2,0.1985
134,06/21/21 11:35:06 PM,0.00,0.00,0.6,0.00,0.33,344.0,0.1985
135,06/21/21 11:40:06 PM,0.00,0.00,0.6,0.00,0.33,320.1,0.1985
136,06/21/21 11:45:06 PM,0.00,0.00,0.6,0.00,0.00,85.6,0.1985
137,06/21/21 11:50:06 PM,0.00,0.00,0.6,0.00,0.00,85.6,0.1985
138,06/21/21 11:55:06 PM,0.00,0.00,0.6,0.00,0.00,85.6,0.1985
139,06/22/21 12:00:06 AM,0.00,0.00,0.6,0.00,0.67,84.2,0.1985
140,06/22/21 12:05:06 AM,0.00,0.00,0.6,0.33,0.67,84.2,0.1985
141,06/22/21 12:10:06 AM,0.00,0.00,0.6,0.00,0.33,84.2,0.1985
142,06/22/21 12:15:06 AM,0.00,0.00,0.6,0.33,1.34,85.6,0.1981
143,06/22/21 12:20:06 AM,0.00,0.00,0.6,0.33,1.67,301.8,0.1976
