Serial Number:20585867 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Host Connect","EOF"
2021-06-10 18:05:30,30.20,15.31,1.00, , 
2021-06-10 18:10:30,29.97,15.58,1.07, , 
2021-06-10 18:15:30,29.11,14.53,-0.59, , 
2021-06-10 18:20:30,28.21,13.56,-2.22, , 
2021-06-10 18:25:30,27.97,15.75,-0.38, , 
2021-06-10 18:30:30,27.36,17.19,0.33, , 
2021-06-10 18:35:30,27.11,17.45,0.33, , 
2021-06-10 18:40:30,27.37,17.09,0.25, , 
2021-06-10 18:45:30,27.52,17.47,0.68, , 
2021-06-10 18:50:30,26.54,14.34,-2.79, , 
2021-06-10 18:55:30,25.67,17.25,-0.98, , 
2021-06-10 19:00:30,25.64,16.56,-1.56, , 
2021-06-10 19:05:30,25.45,16.94,-1.41, , 
2021-06-10 19:10:30,25.71,16.06,-1.93, , 
2021-06-10 19:15:30,26.10,19.62,1.14, , 
2021-06-10 19:20:30,25.84,16.94,-1.09, , 
2021-06-10 19:25:30,25.74,15.97,-1.98, , 
2021-06-10 19:30:30,25.60,16.02,-2.05, , 
2021-06-10 19:35:30,25.51,14.90,-3.09, , 
2021-06-10 19:40:30,25.08,17.28,-1.44, , 
2021-06-10 19:45:30,25.12,17.42,-1.30, , 
2021-06-10 19:50:30,25.10,16.37,-2.16, , 
2021-06-10 19:55:30,24.78,16.43,-2.36, , 
2021-06-10 20:00:30,24.80,20.02,0.35, , 
2021-06-10 20:05:30,25.09,18.99,-0.14, , 
2021-06-10 20:10:30,25.00,15.51,-2.97, , 
2021-06-10 20:15:30,24.58,16.10,-2.80, , 
2021-06-10 20:20:30,24.45,17.92,-1.46, , 
2021-06-10 20:25:30,24.92,18.50,-0.64, , 
2021-06-10 20:30:30,25.33,17.51,-1.06, , 
2021-06-10 20:35:30,25.52,16.36,-1.83, , 
2021-06-10 20:40:30,24.77,13.63,-4.86, , 
2021-06-10 20:45:30,24.69,17.12,-1.88, , 
2021-06-10 20:50:30,24.62,17.05,-1.99, , 
2021-06-10 20:55:30,24.34,15.05,-3.89, , 
2021-06-10 21:00:30,23.41,13.98,-5.60, , 
2021-06-10 21:05:30,23.41,15.63,-4.14, , 
2021-06-10 21:10:30,23.18,18.60,-1.98, , 
2021-06-10 21:15:30,23.21,15.38,-4.51, , 
2021-06-10 21:20:30,22.61,14.30,-5.95, , 
2021-06-10 21:25:30,20.85,15.59,-6.22, , 
2021-06-10 21:30:30,19.47,16.83,-6.33, , 
2021-06-10 21:35:30,18.66,17.40,-6.56, , 
2021-06-10 21:40:30,18.00,17.81,-6.79, , 
2021-06-10 21:45:30,17.65,18.51,-6.58, , 
2021-06-10 21:50:30,17.29,19.80,-6.00, , 
2021-06-10 21:55:30,17.06,18.70,-6.93, , 
2021-06-10 22:00:30,16.86,18.72,-7.08, , 
2021-06-10 22:05:30,16.54,18.77,-7.31, , 
2021-06-10 22:10:30,16.39,19.91,-6.67, , 
2021-06-10 22:15:30,15.99,19.09,-7.54, , 
2021-06-10 22:20:30,15.80,19.83,-7.21, , 
2021-06-10 22:25:30,15.54,21.01,-6.68, , 
2021-06-10 22:30:30,15.47,22.84,-5.64, , 
2021-06-10 22:35:30,15.15,21.32,-6.81, , 
2021-06-10 22:40:30,14.87,23.71,-5.66, , 
2021-06-10 22:45:30,14.82,19.35,-8.34, , 
2021-06-10 22:50:30,14.87,19.91,-7.93, , 
2021-06-10 22:55:30,14.78,19.19,-8.48, , 
2021-06-10 23:00:30,14.56,22.96,-6.34, , 
2021-06-10 23:05:30,14.11,20.70,-8.06, , 
2021-06-10 23:10:30,14.06,19.65,-8.77, , 
2021-06-10 23:15:30,14.18,19.90,-8.51, , 
2021-06-10 23:20:30,14.28,18.96,-9.04, , 
2021-06-10 23:25:30,14.38,19.51,-8.60, , 
2021-06-10 23:30:30,14.44,19.23,-8.73, , 
2021-06-10 23:35:30,14.59,18.52,-9.08, , 
2021-06-10 23:40:30,14.37,19.24,-8.78, , 
2021-06-10 23:45:30,13.79,19.89,-8.84, , 
2021-06-10 23:50:30,13.44,25.11,-6.13, , 
2021-06-10 23:55:30,12.84,20.66,-9.14, , 
2021-06-11 00:00:30,13.09,19.68,-9.55, , 
2021-06-11 00:05:30,13.09,20.06,-9.31, , 
2021-06-11 00:10:30,12.10,29.25,-5.28, , 
2021-06-11 00:15:30,10.90,31.94,-5.16, , 
2021-06-11 00:20:30,9.86,32.30,-5.92, , 
2021-06-11 00:25:30,9.18,32.26,-6.54, , 
2021-06-11 00:30:30,8.92,34.42,-5.92, , 
2021-06-11 00:35:30,8.52,35.02,-6.05, , 
2021-06-11 00:40:30,8.01,36.68,-5.90, , 
2021-06-11 00:45:30,7.75,37.86,-5.71, , 
2021-06-11 00:50:30,7.46,37.47,-6.11, , 
2021-06-11 00:55:30,7.24,39.33,-5.68, , 
2021-06-11 01:00:30,6.99,38.76,-6.09, , 
2021-06-11 01:05:30,6.68,40.47,-5.80, , 
2021-06-11 01:10:30,6.30,39.45,-6.48, , 
2021-06-11 01:15:30,5.98,42.91,-5.67, , 
2021-06-11 01:20:30,5.69,46.48,-4.88, , 
2021-06-11 01:25:30,5.23,45.85,-5.48, , 
2021-06-11 01:30:30,5.08,45.31,-5.77, , 
2021-06-11 01:35:30,4.83,44.11,-6.35, , 
2021-06-11 01:40:30,4.63,48.11,-5.40, , 
2021-06-11 01:45:30,4.29,49.68,-5.29, , 
2021-06-11 01:50:30,3.98,49.87,-5.53, , 
2021-06-11 01:55:30,3.76,52.46,-5.07, , 
2021-06-11 02:00:30,3.56,50.68,-5.71, , 
2021-06-11 02:05:30,3.45,52.95,-5.23, , 
2021-06-11 02:10:30,3.39,52.02,-5.52, , 
2021-06-11 02:15:30,3.44,51.06,-5.72, , 
2021-06-11 02:20:30,3.27,52.95,-5.40, , 
2021-06-11 02:25:30,3.24,55.48,-4.82, , 
2021-06-11 02:30:30,3.16,52.25,-5.68, , 
2021-06-11 02:35:30,3.14,53.19,-5.46, , 
2021-06-11 02:40:30,3.06,52.55,-5.69, , 
2021-06-11 02:45:30,2.89,55.60,-5.11, , 
2021-06-11 02:50:30,2.78,54.20,-5.55, , 
2021-06-11 02:55:30,2.75,52.33,-6.04, , 
2021-06-11 03:00:30,2.60,57.78,-4.87, , 
2021-06-11 03:05:30,2.23,58.87,-4.98, , 
2021-06-11 03:10:30,1.86,59.47,-5.19, , 
2021-06-11 03:15:30,1.78,57.96,-5.61, , 
2021-06-11 03:20:30,1.73,58.99,-5.42, , 
2021-06-11 03:25:30,2.22,53.78,-6.18, , 
2021-06-11 03:30:30,2.31,58.03,-5.09, , 
2021-06-11 03:35:30,1.98,59.09,-5.16, , 
2021-06-11 03:40:30,1.65,60.10,-5.25, , 
2021-06-11 03:45:30,1.57,58.02,-5.79, , 
2021-06-11 03:50:30,1.88,55.93,-5.97, , 
2021-06-11 03:55:30,1.72,61.57,-4.86, , 
2021-06-11 04:00:30,1.62,57.37,-5.89, , 
2021-06-11 04:05:30,1.76,55.08,-6.30, , 
2021-06-11 04:10:30,1.90,59.39,-5.18, , 
2021-06-11 04:15:30,1.63,60.31,-5.23, , 
2021-06-11 04:20:30,1.50,57.69,-5.93, , 
2021-06-11 04:25:30,1.51,59.11,-5.60, , 
2021-06-11 04:30:30,1.33,59.71,-5.64, , 
2021-06-11 04:35:30,1.34,57.53,-6.12, , 
2021-06-11 04:40:30,1.32,61.25,-5.32, , 
2021-06-11 04:45:30,1.01,60.80,-5.71, , 
2021-06-11 04:50:30,0.89,63.32,-5.29, , 
2021-06-11 04:55:30,0.84,63.95,-5.20, , 
2021-06-11 05:00:30,0.78,61.20,-5.84, , 
2021-06-11 05:05:30,0.89,63.45,-5.26, , 
2021-06-11 05:10:30,0.64,65.65,-5.05, , 
2021-06-11 05:15:30,0.50,65.47,-5.22, , 
2021-06-11 05:20:30,0.47,63.80,-5.59, , 
2021-06-11 05:25:30,0.37,64.68,-5.50, , 
2021-06-11 05:30:30,0.61,63.80,-5.45, , 
2021-06-11 05:35:30,0.59,65.36,-5.16, , 
2021-06-11 05:40:30,0.36,65.41,-5.36, , 
2021-06-11 05:45:30,0.39,61.03,-6.24, , 
2021-06-11 05:50:30,0.42,62.05,-6.00, , 
2021-06-11 05:55:30,0.33,58.58,-6.83, , 
2021-06-11 06:00:30,0.52,64.41,-5.41, , 
2021-06-11 06:05:30,0.34,65.17,-5.43, , 
2021-06-11 06:10:30,0.15,66.52,-5.35, , 
2021-06-11 06:15:30,0.06,63.96,-5.94, , 
2021-06-11 06:20:30,-0.00,66.41,-5.51, , 
2021-06-11 06:25:30,-0.03,65.52,-5.72, , 
2021-06-11 06:30:30,-0.03,66.37,-5.55, , 
