Serial Number:20630478 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Host Connect","EOF"
2021-06-12 13:42:10,23.17,17.01,-3.20, , 
2021-06-12 13:42:21, , , ,Logged, 
2021-06-12 13:42:36, , , ,Logged, 
2021-06-12 13:47:10,23.43,19.99,-0.80, , 
2021-06-12 13:52:10,24.24,21.66,0.97, , 
2021-06-12 13:57:10,24.35,15.67,-3.35, , 
2021-06-12 14:02:10,24.57,18.31,-1.07, , 
2021-06-12 14:07:10,24.99,18.00,-0.96, , 
2021-06-12 14:12:10,24.85,14.90,-3.63, , 
2021-06-12 14:17:10,25.03,19.24,-0.01, , 
2021-06-12 14:22:10,25.14,20.38,0.87, , 
2021-06-12 14:27:10,25.37,15.68,-2.52, , 
2021-06-12 14:32:10,24.87,21.14,1.16, , 
2021-06-12 14:37:10,25.45,24.16,3.52, , 
2021-06-12 14:42:10,25.59,13.28,-4.57, , 
2021-06-12 14:47:10,25.08,14.45,-3.84, , 
2021-06-12 14:52:10,24.77,15.00,-3.60, , 
2021-06-12 14:57:10,24.36,21.44,0.94, , 
2021-06-12 15:02:10,24.64,18.69,-0.73, , 
2021-06-12 15:07:10,25.02,24.66,3.45, , 
2021-06-12 15:12:10,25.39,15.57,-2.60, , 
2021-06-12 15:17:10,25.57,20.22,1.12, , 
2021-06-12 15:22:10,25.65,13.61,-4.19, , 
2021-06-12 15:27:10,25.54,21.07,1.67, , 
2021-06-12 15:32:10,25.58,21.37,1.90, , 
2021-06-12 15:37:10,25.71,21.48,2.08, , 
2021-06-12 15:42:10,25.54,16.44,-1.74, , 
2021-06-12 15:47:10,25.96,17.51,-0.54, , 
2021-06-12 15:52:10,25.74,15.43,-2.45, , 
2021-06-12 15:57:10,25.50,14.04,-3.90, , 
2021-06-12 16:02:10,25.74,19.23,0.56, , 
2021-06-12 16:07:10,26.01,21.26,2.18, , 
2021-06-12 16:12:10,25.90,16.13,-1.71, , 
2021-06-12 16:17:10,25.84,18.10,-0.19, , 
2021-06-12 16:22:10,25.52,16.76,-1.49, , 
2021-06-12 16:27:10,25.67,13.68,-4.10, , 
2021-06-12 16:32:10,25.76,16.02,-1.92, , 
2021-06-12 16:37:10,25.71,16.14,-1.86, , 
2021-06-12 16:42:10,25.82,19.64,0.92, , 
2021-06-12 16:47:10,25.67,18.77,0.17, , 
2021-06-12 16:52:10,25.79,20.78,1.68, , 
2021-06-12 16:57:10,25.57,14.54,-3.38, , 
2021-06-12 17:02:10,25.44,18.97,0.13, , 
2021-06-12 17:07:10,25.73,17.51,-0.73, , 
2021-06-12 17:12:10,25.91,16.28,-1.58, , 
2021-06-12 17:17:10,25.74,13.92,-3.83, , 
2021-06-12 17:22:10,25.35,16.47,-1.88, , 
2021-06-12 17:27:10,25.15,15.07,-3.24, , 
2021-06-12 17:32:10,25.15,17.85,-0.94, , 
2021-06-12 17:37:10,25.51,18.72,0.01, , 
2021-06-12 17:42:10,25.69,16.82,-1.31, , 
2021-06-12 17:47:10,25.67,16.94,-1.23, , 
2021-06-12 17:52:10,25.40,14.11,-3.91, , 
2021-06-12 17:57:10,25.31,14.53,-3.59, , 
2021-06-12 18:02:10,25.32,17.96,-0.72, , 
2021-06-12 18:07:10,25.32,13.76,-4.31, , 
2021-06-12 18:12:10,25.20,19.14,0.06, , 
2021-06-12 18:17:10,25.03,19.45,0.14, , 
2021-06-12 18:22:10,24.98,16.65,-2.03, , 
