"Plot Title: Bus Turnaround"
"#","Date Time, GMT-06:00","Wetness, % (LGR S/N: 20871536, SEN S/N: 20851356)","Rain, mm (LGR S/N: 20871536, SEN S/N: 20864341)","Solar Radiation, W/m² (LGR S/N: 20871536, SEN S/N: 20870907)","Wind Speed, m/s (LGR S/N: 20871536, SEN S/N: 20871371)","Gust Speed, m/s (LGR S/N: 20871536, SEN S/N: 20871371)","Wind Direction, ø (LGR S/N: 20871536, SEN S/N: 20871371)","Water Content, m³/m³ (LGR S/N: 20871536, SEN S/N: 20871580)"
1,06/19/20 02:35:58 PM,0.00,,1276.9,3.34,11.35,339.7,0.2564
2,06/19/20 02:40:58 PM,0.00,0.00,1121.9,4.34,13.02,344.0,0.2550
3,06/19/20 02:45:58 PM,0.00,0.00,335.6,3.01,9.35,11.2,0.2553
4,06/19/20 02:50:58 PM,0.00,0.00,1020.6,3.34,8.35,1.4,0.2550
5,06/19/20 02:55:58 PM,0.00,0.00,1043.1,3.67,7.01,15.4,0.2546
6,06/19/20 03:00:58 PM,0.00,0.00,1019.4,3.01,6.01,5.6,0.2542
7,06/19/20 03:05:58 PM,0.00,0.00,973.1,3.34,8.35,345.4,0.2538
8,06/19/20 03:10:58 PM,0.00,0.00,955.6,3.67,8.68,1.4,0.2542
9,06/19/20 03:15:58 PM,0.00,0.00,950.6,4.01,10.35,344.0,0.2538
10,06/19/20 03:20:58 PM,0.00,0.00,928.1,3.01,7.01,12.6,0.2534
11,06/19/20 03:25:58 PM,0.00,0.00,924.4,3.01,7.68,349.6,0.2534
12,06/19/20 03:30:58 PM,0.00,0.00,905.6,3.34,12.02,345.4,0.2534
13,06/19/20 03:35:58 PM,0.00,0.00,891.9,4.01,8.68,16.8,0.2532
14,06/19/20 03:40:58 PM,0.00,0.00,884.4,4.01,7.35,345.4,0.2532
15,06/19/20 03:45:58 PM,0.00,0.00,900.6,3.67,9.68,2.8,0.2528
16,06/19/20 03:50:58 PM,0.00,0.00,880.6,3.34,10.35,28.1,0.2532
17,06/19/20 03:55:58 PM,0.00,0.00,848.1,4.01,9.02,14.0,0.2528
18,06/19/20 04:00:58 PM,0.00,0.00,830.6,2.67,6.68,25.3,0.2528
19,06/19/20 04:05:58 PM,0.00,0.00,818.1,3.34,7.35,9.8,0.2528
20,06/19/20 04:10:58 PM,0.00,0.00,820.6,3.67,9.68,26.7,0.2528
21,06/19/20 04:15:58 PM,0.00,0.00,825.6,3.67,8.02,25.3,0.2528
22,06/19/20 04:20:58 PM,0.00,0.00,796.9,4.34,9.02,19.7,0.2528
23,06/19/20 04:25:58 PM,0.00,0.00,780.6,3.34,6.68,29.5,0.2528
24,06/19/20 04:30:58 PM,0.00,0.00,770.6,3.67,7.01,341.2,0.2528
25,06/19/20 04:35:58 PM,0.00,0.00,783.1,3.34,8.02,5.6,0.2524
26,06/19/20 04:40:58 PM,0.00,0.00,795.6,4.34,10.69,37.9,0.2524
27,06/19/20 04:45:58 PM,0.00,0.00,785.6,3.67,9.02,355.2,0.2524
28,06/19/20 04:50:58 PM,0.00,0.00,428.1,2.34,5.01,353.8,0.2524
29,06/19/20 04:55:58 PM,0.00,0.00,770.6,2.34,6.68,338.3,0.2524
30,06/19/20 05:00:58 PM,0.00,0.00,766.9,4.34,8.35,35.1,0.2524
31,06/19/20 05:05:58 PM,0.00,0.00,745.6,2.67,7.35,39.3,0.2524
32,06/19/20 05:10:58 PM,0.00,0.00,709.4,2.00,4.68,16.8,0.2524
33,06/19/20 05:15:58 PM,0.00,0.00,680.6,2.34,7.35,2.8,0.2524
34,06/19/20 05:20:58 PM,0.00,0.00,645.6,2.67,6.35,5.6,0.2524
35,06/19/20 05:25:58 PM,0.00,0.00,479.4,2.67,7.01,335.5,0.2524
36,06/19/20 05:30:58 PM,0.00,0.00,625.6,2.67,6.35,325.7,0.2524
37,06/19/20 05:35:58 PM,0.00,0.00,609.4,2.67,5.34,331.3,0.2520
38,06/19/20 05:40:58 PM,0.00,0.00,605.6,3.01,5.68,336.9,0.2524
39,06/19/20 05:45:58 PM,0.00,0.00,441.9,3.01,7.01,14.0,0.2520
40,06/19/20 05:50:58 PM,0.00,0.00,574.4,3.34,6.68,5.6,0.2520
41,06/19/20 05:55:58 PM,0.00,0.00,543.1,2.34,5.68,321.5,0.2520
42,06/19/20 06:00:58 PM,0.00,0.00,529.4,2.34,5.68,2.8,0.2520
43,06/19/20 06:05:58 PM,0.00,0.00,515.6,1.67,4.01,5.6,0.2520
44,06/19/20 06:10:58 PM,0.00,0.00,519.4,1.34,3.67,12.6,0.2520
45,06/19/20 06:15:58 PM,0.00,0.00,476.9,1.00,3.67,314.5,0.2520
46,06/19/20 06:20:58 PM,0.00,0.00,95.6,2.67,4.68,324.3,0.2516
47,06/19/20 06:25:58 PM,0.00,0.00,421.9,2.34,7.35,355.2,0.2516
48,06/19/20 06:30:58 PM,0.00,0.00,404.4,1.67,4.01,43.5,0.2524
49,06/19/20 06:35:58 PM,0.00,0.00,395.6,1.34,3.67,22.5,0.2520
50,06/19/20 06:40:58 PM,0.00,0.00,388.1,3.01,7.68,47.7,0.2520
51,06/19/20 06:45:58 PM,0.00,0.00,178.1,2.34,4.68,21.1,0.2516
52,06/19/20 06:50:58 PM,0.00,0.00,94.4,1.34,2.67,21.1,0.2516
53,06/19/20 06:55:58 PM,0.00,0.00,339.4,1.67,3.67,339.7,0.2516
54,06/19/20 07:00:58 PM,0.00,0.00,299.4,2.67,5.68,353.8,0.2516
55,06/19/20 07:05:58 PM,0.00,0.00,273.1,2.67,5.01,324.3,0.2516
