"Plot Title: Gothic Mountain"
"#","Date Time, GMT-06:00","Wetness, % (LGR S/N: 20871535, SEN S/N: 20851354)","Rain, mm (LGR S/N: 20871535, SEN S/N: 20864342)","Solar Radiation, W/m² (LGR S/N: 20871535, SEN S/N: 20870906)","Wind Speed, m/s (LGR S/N: 20871535, SEN S/N: 20871374)","Gust Speed, m/s (LGR S/N: 20871535, SEN S/N: 20871374)","Wind Direction, ø (LGR S/N: 20871535, SEN S/N: 20871374)","Water Content, m³/m³ (LGR S/N: 20871535, SEN S/N: 20871581)"
1,06/23/20 10:21:13 AM,0.00,,1276.9,0.00,1.67,179.7,-0.0080
2,06/23/20 10:26:13 AM,0.00,0.00,175.6,0.33,1.67,249.9,-0.0080
3,06/23/20 10:31:13 AM,0.00,0.00,703.1,0.00,0.00,133.4,-0.0086
4,06/23/20 10:36:13 AM,0.00,0.00,218.1,0.00,0.00,133.4,-0.0080
5,06/23/20 10:41:13 AM,0.00,0.00,298.1,0.00,0.33,132.0,-0.0086
6,06/23/20 10:46:13 AM,0.00,0.00,1048.1,0.00,1.67,132.0,-0.0080
7,06/23/20 10:51:13 AM,0.00,0.00,503.1,0.67,2.67,122.1,-0.0086
8,06/23/20 10:56:13 AM,0.00,0.00,965.6,0.33,2.67,106.7,-0.0086
9,06/23/20 11:01:13 AM,0.00,0.00,1026.9,0.33,1.67,268.1,-0.0080
10,06/23/20 11:06:13 AM,0.00,0.00,199.4,0.67,2.34,181.1,-0.0080
11,06/23/20 11:11:13 AM,0.00,0.00,160.6,0.67,2.34,137.6,-0.0080
12,06/23/20 11:16:13 AM,0.00,0.00,556.9,0.33,1.34,188.1,-0.0080
13,06/23/20 11:21:13 AM,0.00,0.00,155.6,0.33,2.00,160.0,-0.0080
14,06/23/20 11:26:13 AM,0.00,0.00,144.4,0.00,0.00,130.6,-0.0080
15,06/23/20 11:31:13 AM,0.00,0.00,1066.9,0.00,1.00,132.0,-0.0069
16,06/23/20 11:36:13 AM,0.00,0.00,90.6,0.00,1.00,139.0,-0.0069
17,06/23/20 11:41:13 AM,0.00,0.00,1048.1,0.33,2.67,129.2,-0.0063
18,06/23/20 11:46:13 AM,0.00,0.00,1043.1,1.00,3.34,134.8,-0.0063
