"Plot Title: High Meadow"
"#","Date Time, GMT-06:00","Wetness, % (LGR S/N: 20871533, SEN S/N: 20851355)","Rain, mm (LGR S/N: 20871533, SEN S/N: 20864339)","Solar Radiation, W/m² (LGR S/N: 20871533, SEN S/N: 20870904)","Wind Speed, m/s (LGR S/N: 20871533, SEN S/N: 20871372)","Gust Speed, m/s (LGR S/N: 20871533, SEN S/N: 20871372)","Wind Direction, ø (LGR S/N: 20871533, SEN S/N: 20871372)","Water Content, m³/m³ (LGR S/N: 20871533, SEN S/N: 20871579)"
1,06/25/20 11:17:39 AM,0.00,,1276.9,1.67,3.67,193.7,0.1932
2,06/25/20 11:22:39 AM,0.00,0.00,873.1,2.00,5.01,190.9,0.1935
3,06/25/20 11:27:39 AM,0.00,0.00,869.4,1.67,4.01,183.9,0.1939
4,06/25/20 11:32:39 AM,0.00,0.00,994.4,1.67,4.34,278.0,0.1945
5,06/25/20 11:37:39 AM,0.00,0.00,1049.4,1.67,4.01,179.7,0.1948
6,06/25/20 11:42:39 AM,0.00,0.00,1026.9,1.67,3.34,233.1,0.1948
7,06/25/20 11:47:39 AM,0.00,0.00,1035.6,2.00,4.01,216.2,0.1954
8,06/25/20 11:52:39 AM,0.00,0.00,1066.9,2.34,5.01,261.1,0.1958
9,06/25/20 11:57:39 AM,0.00,0.00,1121.9,1.34,3.01,296.2,0.1963
10,06/25/20 12:02:39 PM,0.00,0.00,1110.6,2.34,5.01,223.2,0.1963
11,06/25/20 12:07:39 PM,0.00,0.00,1083.1,2.34,4.68,226.0,0.1967
12,06/25/20 12:12:39 PM,0.00,0.00,1091.9,2.00,4.68,210.6,0.1967
13,06/25/20 12:17:39 PM,0.00,0.00,1141.9,2.00,7.35,189.5,0.1967
14,06/25/20 12:22:39 PM,0.00,0.00,1141.9,3.34,6.01,168.5,0.1976
15,06/25/20 12:27:39 PM,0.00,0.00,1134.4,2.34,5.01,207.8,0.1976
16,06/25/20 12:32:39 PM,0.00,0.00,1201.9,1.67,3.67,221.8,0.1976
17,06/25/20 12:37:39 PM,0.00,0.00,1193.1,2.67,5.34,210.6,0.1981
18,06/25/20 12:42:39 PM,0.00,0.00,1135.6,2.00,5.34,258.3,0.1981
19,06/25/20 12:47:39 PM,0.00,0.00,1093.1,2.67,5.01,216.2,0.1985
20,06/25/20 12:52:39 PM,0.00,0.00,1119.4,2.34,4.68,234.5,0.1985
21,06/25/20 12:57:39 PM,0.00,0.00,284.4,1.34,5.01,240.1,0.1985
22,06/25/20 01:02:39 PM,0.00,0.00,200.6,1.34,3.34,254.1,0.1985
23,06/25/20 01:07:39 PM,0.00,0.00,1148.1,1.00,2.00,261.1,0.1990
24,06/25/20 01:12:39 PM,0.00,0.00,1165.6,2.34,7.01,272.4,0.1990
25,06/25/20 01:17:39 PM,0.00,0.00,1203.1,2.00,4.01,224.6,0.1990
26,06/25/20 01:22:39 PM,0.00,0.00,1170.6,1.67,3.67,228.8,0.1994
27,06/25/20 01:27:39 PM,0.00,0.00,1160.6,2.67,6.01,255.5,0.1994
28,06/25/20 01:32:39 PM,0.00,0.00,1224.4,3.34,6.01,268.1,0.1994
29,06/25/20 01:37:39 PM,0.00,0.00,1276.9,2.00,4.68,231.6,0.1994
30,06/25/20 01:42:39 PM,0.00,0.00,1235.6,2.34,4.34,154.4,0.1999
31,06/25/20 01:47:39 PM,0.00,0.00,1240.6,1.67,3.67,255.5,0.1999
32,06/25/20 01:52:39 PM,0.00,0.00,635.6,3.01,5.68,150.2,0.1994
33,06/25/20 01:57:39 PM,0.00,0.00,1276.9,1.67,3.67,87.0,0.1999
34,06/25/20 02:02:39 PM,0.00,0.00,530.6,0.67,2.34,227.4,0.1999
35,06/25/20 02:07:39 PM,0.00,0.00,1204.4,1.34,4.34,153.0,0.1999
36,06/25/20 02:12:39 PM,0.00,0.00,238.1,1.34,3.01,207.8,0.1999
37,06/25/20 02:17:39 PM,0.00,0.00,313.1,0.67,2.00,308.9,0.1994
38,06/25/20 02:22:39 PM,0.00,0.00,1268.1,1.00,2.34,182.5,0.1999
39,06/25/20 02:27:39 PM,0.00,0.00,788.1,0.67,2.34,161.5,0.1999
40,06/25/20 02:32:39 PM,0.00,0.00,215.6,1.00,3.67,247.1,0.1999
41,06/25/20 02:37:39 PM,0.00,0.00,200.6,0.67,1.34,205.0,0.1999
42,06/25/20 02:42:39 PM,0.00,0.00,233.1,0.67,1.67,287.8,0.1999
