Serial Number:20585867 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Host Connect","Stopped","EOF"
2020-06-11 15:59:59,23.14,23.37,1.11, , , 
2020-06-11 16:04:59,22.07,21.97,-0.64, , , 
2020-06-11 16:09:59,21.13,30.64,3.19, , , 
2020-06-11 16:14:59,21.60,28.18,2.42, , , 
2020-06-11 16:19:59,22.04,28.41,2.91, , , 
2020-06-11 16:24:59,22.10,24.72,1.01, , , 
2020-06-11 16:29:59,21.98,24.90,1.01, , , 
2020-06-11 16:34:59,22.02,26.70,2.02, , , 
2020-06-11 16:39:59,22.07,25.15,1.23, , , 
2020-06-11 16:44:59,21.91,25.28,1.16, , , 
2020-06-11 16:49:59,22.16,26.49,2.03, , , 
2020-06-11 16:54:59,21.75,26.13,1.49, , , 
2020-06-11 16:59:59,21.79,29.08,3.03, , , 
2020-06-11 17:04:59,22.26,23.27,0.31, , , 
2020-06-11 17:09:59,22.26,26.87,2.31, , , 
2020-06-11 17:14:59,22.79,24.70,1.59, , , 
2020-06-11 17:19:59,22.98,23.06,0.79, , , 
2020-06-11 17:24:59,22.50,25.00,1.51, , , 
2020-06-11 17:29:59,21.88,24.74,0.84, , , 
2020-06-11 17:34:59,22.18,26.95,2.28, , , 
2020-06-11 17:39:59,22.12,25.16,1.28, , , 
2020-06-11 17:44:59,22.11,26.75,2.12, , , 
2020-06-11 17:49:59,22.67,25.16,1.74, , , 
2020-06-11 17:54:59,22.93,27.96,3.45, , , 
2020-06-11 17:59:59,23.27,27.94,3.73, , , 
2020-06-11 18:04:59,23.14,21.02,-0.35, , , 
2020-06-11 18:09:59,22.54,21.26,-0.70, , , 
2020-06-11 18:14:59,22.60,22.71,0.26, , , 
2020-06-11 18:19:59,22.70,22.86,0.44, , , 
2020-06-11 18:24:59,22.44,21.28,-0.76, , , 
2020-06-11 18:29:59,22.73,20.36,-1.12, , , 
2020-06-11 18:34:59,22.48,21.90,-0.34, , , 
2020-06-11 18:39:59,22.32,23.52,0.51, , , 
2020-06-11 18:44:59,22.68,24.06,1.13, , , 
2020-06-11 18:49:59,23.68,23.07,1.38, , , 
2020-06-11 18:54:59,23.53,19.43,-1.11, , , 
2020-06-11 18:59:59,23.29,21.66,0.19, , , 
2020-06-11 19:04:59,22.87,20.99,-0.60, , , 
