Serial Number:20630307 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Host Connect","EOF"
2020-06-15 10:43:24,12.02,42.52,-0.32, , 
2020-06-15 10:43:37, , , ,Logged, 
2020-06-15 10:48:24,11.93,45.32,0.48, , 
2020-06-15 10:53:24,12.10,40.77,-0.82, , 
2020-06-15 10:58:24,12.30,41.98,-0.24, , 
2020-06-15 11:03:24,12.66,41.12,-0.19, , 
2020-06-15 11:08:24,13.04,43.94,1.06, , 
2020-06-15 11:13:24,13.46,40.84,0.43, , 
2020-06-15 11:18:24,13.98,39.94,0.59, , 
2020-06-15 11:23:24,14.45,42.72,1.95, , 
2020-06-15 11:28:24,14.70,40.75,1.51, , 
2020-06-15 11:33:24,14.84,35.46,-0.28, , 
2020-06-15 11:38:24,15.18,35.04,-0.15, , 
2020-06-15 11:43:24,15.74,36.07,0.75, , 
2020-06-15 11:48:24,16.25,32.54,-0.23, , 
2020-06-15 11:53:24,16.91,32.17,0.20, , 
2020-06-15 11:58:24,17.63,31.56,0.56, , 
2020-06-15 12:03:24,18.44,32.03,1.47, , 
2020-06-15 12:08:24,19.43,31.83,2.25, , 
2020-06-15 12:13:24,19.92,30.30,1.99, , 
2020-06-15 12:18:24,19.87,30.11,1.86, , 
2020-06-15 12:23:24,19.80,30.41,1.93, , 
2020-06-15 12:28:24,20.15,29.53,1.82, , 
2020-06-15 12:33:24,20.40,28.87,1.72, , 
2020-06-15 12:38:24,20.74,29.70,2.41, , 
2020-06-15 12:43:24,20.96,28.17,1.87, , 
2020-06-15 12:48:24,21.28,28.01,2.05, , 
2020-06-15 12:53:24,21.76,25.52,1.17, , 
2020-06-15 12:58:24,22.60,25.35,1.78, , 
2020-06-15 13:03:24,23.34,23.83,1.55, , 
2020-06-15 13:08:24,24.28,30.63,5.91, , 
2020-06-15 13:13:24,25.23,19.91,0.63, , 
2020-06-15 13:18:24,25.75,19.26,0.59, , 
2020-06-15 13:23:24,25.71,18.00,-0.38, , 
2020-06-15 13:28:24,25.50,22.26,2.40, , 
2020-06-15 13:33:24,25.04,19.41,0.12, , 
2020-06-15 13:38:24,24.94,21.81,1.66, , 
2020-06-15 13:43:24,25.25,20.02,0.72, , 
2020-06-15 13:48:24,25.57,21.44,1.94, , 
2020-06-15 13:53:24,25.90,18.18,-0.08, , 
2020-06-15 13:58:24,26.07,17.70,-0.31, , 
2020-06-15 14:03:24,25.78,20.57,1.53, , 
2020-06-15 14:08:24,25.68,17.22,-1.00, , 
2020-06-15 14:13:24,25.95,15.82,-1.94, , 
2020-06-15 14:18:24,26.01,21.08,2.06, , 
2020-06-15 14:23:24,26.31,19.88,1.49, , 
2020-06-15 14:28:24,26.61,22.27,3.33, , 
2020-06-15 14:33:24,26.82,16.75,-0.46, , 
2020-06-15 14:38:24,26.58,19.70,1.59, , 
2020-06-15 14:43:24,26.86,16.34,-0.76, , 
2020-06-15 14:48:24,27.01,17.89,0.60, , 
2020-06-15 14:53:24,27.05,16.47,-0.51, , 
2020-06-15 14:58:24,27.30,17.73,0.71, , 
2020-06-15 15:03:24,27.80,15.22,-0.99, , 
2020-06-15 15:08:24,28.08,13.14,-2.76, , 
2020-06-15 15:13:24,28.49,16.97,1.07, , 
2020-06-15 15:18:24,28.39,15.66,-0.12, , 
2020-06-15 15:23:24,27.99,17.86,1.37, , 
2020-06-15 15:28:24,27.96,16.04,-0.14, , 
2020-06-15 15:33:24,27.59,20.17,2.75, , 
2020-06-15 15:38:24,27.66,15.02,-1.28, , 
2020-06-15 15:43:24,27.86,14.58,-1.53, , 
2020-06-15 15:48:24,27.91,15.84,-0.35, , 
2020-06-15 15:53:24,28.13,12.22,-3.69, , 
2020-06-15 15:58:24,27.81,15.92,-0.37, , 
2020-06-15 16:03:24,27.78,15.19,-1.03, , 
2020-06-15 16:08:24,27.76,15.99,-0.34, , 
2020-06-15 16:13:24,27.61,19.88,2.57, , 
2020-06-15 16:18:24,27.59,16.04,-0.44, , 
2020-06-15 16:23:24,27.50,15.95,-0.59, , 
2020-06-15 16:28:24,27.37,15.04,-1.49, , 
2020-06-15 16:33:24,27.06,14.33,-2.40, , 
2020-06-15 16:38:24,26.83,16.58,-0.59, , 
2020-06-15 16:43:24,26.64,17.51,0.01, , 
2020-06-15 16:48:24,26.58,17.84,0.22, , 
2020-06-15 16:53:24,26.63,16.72,-0.64, , 
2020-06-15 16:58:24,26.54,16.36,-1.01, , 
2020-06-15 17:03:24,26.38,15.30,-2.04, , 
2020-06-15 17:08:24,26.32,16.30,-1.24, , 
2020-06-15 17:13:24,26.27,17.21,-0.53, , 
2020-06-15 17:18:24,26.34,18.13,0.24, , 
2020-06-15 17:23:24,26.53,17.35,-0.21, , 
2020-06-15 17:28:24,26.57,20.40,2.07, , 
2020-06-15 17:33:24,26.84,18.28,0.76, , 
2020-06-15 17:38:24,27.19,17.70,0.60, , 
2020-06-15 17:43:24,27.36,17.11,0.26, , 
2020-06-15 17:48:24,27.53,16.77,0.13, , 
2020-06-15 17:53:24,27.54,15.95,-0.55, , 
2020-06-15 17:58:24,27.24,18.48,1.24, , 
2020-06-15 18:03:24,26.83,19.57,1.70, , 
2020-06-15 18:08:24,26.75,16.49,-0.73, , 
2020-06-15 18:13:24,26.49,17.99,0.25, , 
2020-06-15 18:18:24,26.18,20.17,1.58, , 
2020-06-15 18:23:24,25.98,18.77,0.43, , 
2020-06-15 18:28:24,25.80,16.96,-1.11, , 
2020-06-15 18:33:24,25.45,22.06,2.24, , 
2020-06-15 18:38:24,25.38,20.00,0.81, , 
2020-06-15 18:43:24,25.24,20.59,1.10, , 
2020-06-15 18:48:24,24.84,19.49,0.01, , 
2020-06-15 18:53:24,24.75,19.37,-0.15, , 
