year,month,day,cesm1.cam5.1.rcp45,cesm1.cam5.1.rcp85
2020,6,1,0.193,0
2020,6,2,0.445,0
2020,6,3,0.105,0
2020,6,4,0,0
2020,6,5,0.169,0.051
2020,6,6,3.915,0
2020,6,7,3.505,2.716
2020,6,8,4.961,5.047
2020,6,9,0.69,6.125
2020,6,10,0.61,0
2020,6,11,2.551,0
2020,6,12,5.042,0.073
2020,6,13,2.488,0.023
2020,6,14,1.951,0.022
2020,6,15,1.126,0
2020,6,16,9.454,0
2020,6,17,1.057,0.025
2020,6,18,0.49,0.322
2020,6,19,0.205,0.075
2020,6,20,7.014,0.525
2020,6,21,0.708,6.825
2020,6,22,0,6.975
2020,6,23,0,5.375
2020,6,24,0,2.35
2020,6,25,0,3.25
2020,6,26,6.729,5.95
2020,6,27,2.066,6.55
2020,6,28,4.009,6.575
2020,6,29,0.336,4.5
2020,6,30,1.725,5.475
2020,7,1,0.023,0.325
2020,7,2,0,3.7
2020,7,3,0,0.95
2020,7,4,0,7.55
2020,7,5,0,0.675
2020,7,6,0,0
2020,7,7,0.533,0.25
2020,7,8,0,3.35
2020,7,9,0,7.35
2020,7,10,0,10.55
2020,7,11,0,2.5
2020,7,12,0.226,5.175
2020,7,13,0.085,5.25
2020,7,14,2.249,13.375
2020,7,15,0.594,0
2020,7,16,1.424,0.35
2020,7,17,0.3,0
2020,7,18,0.35,2.675
2020,7,19,0.35,6.7
2020,7,20,4.375,5.475
2020,7,21,7.3,2.45
2020,7,22,5.825,1.341
2020,7,23,1.675,1.066
2020,7,24,1.9,0.725
2020,7,25,2.475,0
2020,7,26,19.8,0
2020,7,27,4.45,0
2020,7,28,12.175,0
2020,7,29,5.471,1.082
2020,7,30,6.85,2.325
2020,7,31,2.099,0.025
2020,8,1,2.55,2.475
2020,8,2,3.425,0.35
2020,8,3,1.725,0.075
2020,8,4,0.075,0
2020,8,5,1.975,0
2020,8,6,1.919,0
2020,8,7,5.075,2.029
2020,8,8,0.136,0
2020,8,9,0,0.098
2020,8,10,6.535,1.821
2020,8,11,4.168,1.445
2020,8,12,2.7,3.025
2020,8,13,5.875,0.094
2020,8,14,1.05,0
2020,8,15,0,0
2020,8,16,0,0
2020,8,17,0.883,0
2020,8,18,0.964,0.462
2020,8,19,0.089,0
2020,8,20,0.138,0
2020,8,21,0,0
2020,8,22,2.866,0
2020,8,23,1.625,0
2020,8,24,10.15,0
2020,8,25,14.825,0
2020,8,26,10.199,0
2020,8,27,1.412,0
2020,8,28,0,1.76
2020,8,29,0,5.075
2020,8,30,0.034,3.005
2020,8,31,0,11.8
2020,9,1,0.668,11.65
2020,9,2,0.333,7.8
2020,9,3,0,2.065
2020,9,4,0,1.845
2020,9,5,1.872,0
2020,9,6,9.35,0
2020,9,7,8.125,0
2020,9,8,3.355,0.017
2020,9,9,1.843,0
2020,9,10,0,2.058
2020,9,11,0,9.414
2020,9,12,2.028,4.344
2020,9,13,0.4,17.759
2020,9,14,1.375,1.544
2020,9,15,0.216,0.14
2020,9,16,1.089,0.075
2020,9,17,0.848,0
2020,9,18,0,0
2020,9,19,0,0.21
2020,9,20,0,0
2020,9,21,0.206,0.96
2020,9,22,5.327,0.066
2020,9,23,18.55,6.057
2020,9,24,0.48,14.957
2020,9,25,4.082,15.461
2020,9,26,12.321,6.029
2020,9,27,2.847,2.089
2020,9,28,0,0
2020,9,29,3.396,0.083
2020,9,30,2.801,0
