Serial Number:20630478 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","Host Connect","Stopped","EOF"
2020-06-16 10:56:56,17.10,37.00,2.31, , , 
2020-06-16 11:01:56,18.10,30.84,0.65, , , 
2020-06-16 11:06:56,17.74,31.90,0.80, , , 
2020-06-16 11:11:56,18.05,29.94,0.19, , , 
2020-06-16 11:16:56,18.20,33.41,1.85, , , 
2020-06-16 11:21:56,17.91,27.11,-1.29, , , 
2020-06-16 11:26:56,17.40,40.26,3.77, , , 
2020-06-16 11:31:56,16.98,35.01,1.43, , , 
2020-06-16 11:36:56,16.42,29.50,-1.42, , , 
2020-06-16 11:41:56,15.95,32.51,-0.50, , , 
2020-06-16 11:46:56,16.03,33.74,0.08, , , 
2020-06-16 11:51:56,15.82,29.55,-1.92, , , 
2020-06-16 11:56:56,15.54,30.33,-1.81, , , 
2020-06-16 12:01:56,15.10,32.72,-1.16, , , 
2020-06-16 12:06:56,14.87,37.03,0.34, , , 
2020-06-16 12:11:56,14.60,31.68,-2.03, , , 
2020-06-16 12:16:56,14.28,31.86,-2.23, , , 
2020-06-16 12:21:56,14.34,34.47,-1.12, , , 
2020-06-16 12:26:56,14.78,33.54,-1.10, , , 
2020-06-16 12:31:56,14.73,36.07,-0.14, , , 
2020-06-16 12:36:56,15.25,35.04,-0.09, , , 
2020-06-16 12:41:56,15.73,32.44,-0.72, , , 
2020-06-16 12:46:56,15.98,34.20,0.22, , , 
2020-06-16 12:51:56,16.62,38.01,2.26, , , 
2020-06-16 12:56:56,16.79,32.87,0.39, , , 
2020-06-16 13:01:56,16.71,27.84,-1.95, , , 
2020-06-16 13:06:56,16.48,35.42,1.15, , , 
2020-06-16 13:11:56,16.32,35.15,0.90, , , 
2020-06-16 13:16:56,16.36,28.77,-1.81, , , 
2020-06-16 13:21:56,16.06,35.15,0.68, , , 
2020-06-16 13:26:56,17.38,33.97,1.37, , , 
2020-06-16 13:31:56,17.54,29.65,-0.38, , , 
2020-06-16 13:36:56,17.64,30.24,-0.02, , , 
2020-06-16 13:41:56,17.61,30.19,-0.07, , , 
2020-06-16 13:46:56,16.99,28.87,-1.22, , , 
2020-06-16 13:51:56,16.26,32.70,-0.15, , , 
2020-06-16 13:56:56,17.25,33.82,1.19, , , 
2020-06-16 14:01:56,17.81,35.25,2.26, , , 
2020-06-16 14:06:56,17.59,33.56,1.38, , , 
2020-06-16 14:11:56,17.48,33.54,1.27, , , 
2020-06-16 14:16:56,17.58,27.78,-1.24, , , 
2020-06-16 14:21:56,17.22,27.06,-1.90, , , 
2020-06-16 14:26:56,16.75,33.44,0.59, , , 
2020-06-16 14:31:56,16.52,30.66,-0.80, , , 
2020-06-16 14:36:56,15.90,37.58,1.46, , , 
2020-06-16 14:41:56,16.10,45.51,4.33, , , 
2020-06-16 14:46:56,17.18,37.44,2.54, , , 
2020-06-16 14:51:56,18.83,39.65,4.83, , , 
2020-06-16 14:56:56,19.40,35.52,3.77, , , 
2020-06-16 15:01:56,20.03,28.72,1.33, , , 
2020-06-16 15:06:56,20.30,30.53,2.42, , , 
2020-06-16 15:11:56,20.05,26.78,0.38, , , 
2020-06-16 15:16:56,19.96,30.85,2.27, , , 
2020-06-16 15:21:56,20.25,27.88,1.10, , , 
2020-06-16 15:26:56,20.51,28.22,1.50, , , 
2020-06-16 15:31:56,20.58,32.76,3.66, , , 
2020-06-16 15:36:56,21.36,33.93,4.84, , , 
2020-06-16 15:41:56,21.58,25.95,1.25, , , 
2020-06-16 15:46:56,21.44,30.30,3.30, , , 
2020-06-16 15:51:56,21.96,27.31,2.29, , , 
2020-06-16 15:56:56,21.98,29.50,3.39, , , 
2020-06-16 16:01:56,21.19,27.66,1.80, , , 
2020-06-16 16:06:56,20.22,26.50,0.38, , , 
2020-06-16 16:11:56,19.80,28.18,0.87, , , 
2020-06-16 16:16:56,20.75,27.69,1.44, , , 
2020-06-16 16:21:56,21.72,29.84,3.32, , , 
