Serial Number:20638359 --

"Date Time, GMT -0400","Temp, (*C)","RH, (%)","DewPt, (*C)","EOF"
2020-06-18 14:12:30,15.53,34.63,-0.00, 
2020-06-18 14:13:30,15.58,37.32,1.08, 
2020-06-18 14:14:30,15.65,32.92,-0.59, 
2020-06-18 14:15:30,15.63,37.48,1.19, 
2020-06-18 14:16:30,15.69,38.08,1.46, 
2020-06-18 14:17:30,15.69,35.91,0.64, 
2020-06-18 14:18:30,15.77,34.39,0.12, 
2020-06-18 14:19:30,15.83,33.87,-0.04, 
2020-06-18 14:20:30,15.88,31.61,-0.94, 
2020-06-18 14:21:30,15.88,34.12,0.10, 
2020-06-18 14:22:30,15.98,30.94,-1.15, 
2020-06-18 14:23:30,16.14,36.59,1.30, 
2020-06-18 14:24:30,16.28,32.49,-0.22, 
2020-06-18 14:25:30,16.35,31.94,-0.39, 
2020-06-18 14:26:30,16.30,33.88,0.37, 
2020-06-18 14:27:30,16.21,32.74,-0.17, 
2020-06-18 14:28:30,16.15,35.30,0.81, 
2020-06-18 14:29:30,16.00,31.91,-0.71, 
2020-06-18 14:30:30,15.80,31.27,-1.16, 
2020-06-18 14:31:30,15.53,35.35,0.28, 
2020-06-18 14:32:30,15.27,33.41,-0.72, 
2020-06-18 14:33:30,15.03,34.05,-0.67, 
2020-06-18 14:34:30,14.85,34.13,-0.80, 
2020-06-18 14:35:30,14.77,35.13,-0.48, 
2020-06-18 14:36:30,14.78,36.35,0.00, 
2020-06-18 14:37:30,14.88,33.91,-0.86, 
2020-06-18 14:38:30,14.97,35.94,0.01, 
2020-06-18 14:39:30,15.10,33.95,-0.65, 
2020-06-18 14:40:30,15.19,33.76,-0.65, 
2020-06-18 14:41:30,15.17,33.38,-0.82, 
2020-06-18 14:42:30,15.16,33.79,-0.66, 
2020-06-18 14:43:30,15.23,35.92,0.24, 
2020-06-18 14:44:30,15.37,33.75,-0.50, 
2020-06-18 14:45:30,15.55,36.86,0.88, 
2020-06-18 14:46:30,15.73,34.60,0.16, 
2020-06-18 14:47:30,15.82,35.05,0.42, 
2020-06-18 14:48:30,16.00,34.45,0.34, 
2020-06-18 14:49:30,16.05,33.41,-0.03, 
2020-06-18 14:50:30,16.08,34.92,0.60, 
2020-06-18 14:51:30,16.17,33.24,0.00, 
