transect,date,start.lat,start.long,end.lat,end.long,num.H,num.D,incidence,elevation,dist.to.nearest.pop
RG,6/30/2021,38.99016,-107.00724,38.99051,-107.00714,5,1,1,,
RG,6/30/2021,38.99063,-107.00717,38.99087,-107.00719,8,0,0,,
RG,6/30/2021,38.99106,-107.00725,38.9915,-107.00713,10,1,1,,
RG,6/30/2021,39.00321,-107.00224,39.00333,-107.00215,8,0,0,,
RG,6/30/2021,39.00473,-107.00134,39.00487,-107.0012,10,0,0,,
RG,6/30/2021,39.00489,-107.00119,39.00503,-107.00107,19,1,1,,
RG,6/30/2021,39.00626,-107.00055,39.00649,-107.00046,9,0,0,,
RG,6/30/2021,39.00683,-107.00001,39.00705,-106.99996,6,0,0,,
RG,6/30/2021,39.01468,-107.0002,39.01492,-107.00036,42,0,0,,
RG,6/30/2021,39.0217,-106.9788,39.02172,-106.97866,6,0,0,,
RG,6/30/2021,39.02163,-106.97808,39.02161,-106.97799,4,3,1,,
