Site,Year,Date,X,Y,x,y,status,height.cm,tag,notes
BT,2020,6/17/2020,0,6,0.82,0.81,H,37,137,
BT,2020,6/17/2020,0,8,0.7,0.8,H,33,170,
BT,2020,6/17/2020,0,8,0.7,0.95,H,45,175,
BT,2020,6/17/2020,0,11,0.33,0.1,H,0.24,,
BT,2020,6/17/2020,0,11,0.6,0.26,H,0.2,,
BT,2020,6/17/2020,0,11,0.66,0.5,H,0.25,,
BT,2020,6/17/2020,0,11,0.75,0.35,H,21,,
BT,2020,6/17/2020,0,11,0.76,0.13,H,0.22,,
BT,2020,6/17/2020,0,11,0.85,0.45,H,16,,
BT,2020,6/17/2020,0,11,0.87,0.9,H,40,,
BT,2020,6/17/2020,0,11,0.88,0.27,H,0.31,,
BT,2020,6/17/2020,0,11,0.89,0.35,H,19,,
BT,2020,6/17/2020,0,11,0.99,0.09,H,14,,
BT,2020,6/17/2020,0,12,0.23,0.28,H,32,,
BT,2020,6/17/2020,0,12,0.38,0.48,H,3,,
BT,2020,6/17/2020,0,12,0.47,0.26,H,26,,
BT,2020,6/17/2020,0,12,0.48,0.54,H,23,,
BT,2020,6/17/2020,0,12,0.83,0.23,H,42,,
BT,2020,6/17/2020,0,13,0.04,0.22,H,1,,
BT,2020,6/17/2020,0,13,0.21,0.92,H,20,,
BT,2020,6/17/2020,0,13,0.85,0.3,H,28,,
BT,2020,6/17/2020,0,14,0.15,0.6,D,30.5,179,
BT,2020,6/17/2020,0,14,0.5,0.01,H,22,,
BT,2020,6/17/2020,0,14,0.71,0.2,H,32,,
BT,2020,6/17/2020,0,14,0.94,0.7,H,26,,
BT,2020,6/17/2020,0,15,0.6,0.2,H,34,465,
BT,2020,6/17/2020,0,17,0.35,0.3,H,50,,
BT,2020,6/17/2020,0,17,0.7,0.1,H,30,,
BT,2020,6/17/2020,0,18,0.7,0.15,H,1,,
BT,2020,6/17/2020,0,18,0.8,0.35,H,13,,
BT,2020,6/17/2020,0,19,0.14,0.4,H,20,,
BT,2020,6/17/2020,0,19,0.25,0.5,H,14,,
BT,2020,6/17/2020,0,19,0.25,1,H,34,,
BT,2020,6/17/2020,1,6,0.54,0.63,H,17,,
BT,2020,6/17/2020,1,7,0.63,0.21,H,30,152,
BT,2020,6/17/2020,1,7,0.78,0.08,H,34,149,
BT,2020,6/17/2020,1,7,0.85,0.2,H,1,,
BT,2020,6/17/2020,1,7,0.9,0,H,2,,
BT,2020,6/17/2020,1,7,0.9,0.05,H,3,,
BT,2020,6/17/2020,1,7,0.9,0.15,H,3,,
BT,2020,6/17/2020,1,7,0.9,0.25,H,3,,
BT,2020,6/17/2020,1,7,1,0,H,2,,
BT,2020,6/17/2020,1,7,1,0.05,H,2,,
BT,2020,6/17/2020,1,8,0.4,0.85,H,2,,
BT,2020,6/17/2020,1,8,0.4,0.9,H,31,,
BT,2020,6/17/2020,1,8,0.8,1,H,16,,
BT,2020,6/17/2020,1,9,0.02,0.8,H,14,,
BT,2020,6/17/2020,1,9,0.1,0.8,H,10,,
BT,2020,6/17/2020,1,9,0.22,0.2,H,27,209,
BT,2020,6/17/2020,1,9,0.3,0.08,D,26,201,
BT,2020,6/17/2020,1,9,0.4,0.35,H,8,,
BT,2020,6/17/2020,1,9,0.7,0.4,H,21,,
BT,2020,6/17/2020,1,11,0.02,0.29,H,0.16,,
BT,2020,6/17/2020,1,11,0.18,0.15,H,0.12,,
BT,2020,6/17/2020,1,11,0.39,0.26,H,18,,
BT,2020,6/17/2020,1,11,0.4,0.3,H,0.27,,
BT,2020,6/17/2020,1,11,0.45,0.01,H,7,,
BT,2020,6/17/2020,1,11,0.49,0.1,H,2,,
BT,2020,6/17/2020,1,11,0.71,0.9,H,20,,
BT,2020,6/17/2020,1,11,0.77,0.67,H,0.16,,
BT,2020,6/17/2020,1,11,0.84,0.15,H,4,,
BT,2020,6/17/2020,1,11,0.87,0.13,H,2,,
BT,2020,6/17/2020,1,11,0.9,0.55,H,0.18,,
BT,2020,6/17/2020,1,11,0.92,0.99,H,0.02,,
BT,2020,6/17/2020,1,11,0.99,0.99,H,0.04,,
BT,2020,6/17/2020,1,12,0.4,0.23,H,28,,
BT,2020,6/17/2020,1,12,0.47,0.1,H,22,,
BT,2020,6/17/2020,1,12,0.5,0.4,H,30,,
BT,2020,6/17/2020,1,12,0.97,0.44,H,19,,
BT,2020,6/17/2020,1,13,0.08,0.43,H,29,,
BT,2020,6/17/2020,1,13,0.19,0.06,H,32,,
BT,2020,6/17/2020,1,13,0.7,0.4,H,34,464,
BT,2020,6/17/2020,1,14,0.53,0.2,H,42,,
BT,2020,6/17/2020,1,16,0.2,1,H,30,,
BT,2020,6/17/2020,1,16,0.71,0.25,H,1,,
BT,2020,6/17/2020,1,16,0.73,0.28,H,1,,
BT,2020,6/17/2020,1,16,0.8,0.05,H,37,,
BT,2020,6/17/2020,1,17,0.7,0.1,H,30,,
BT,2020,6/17/2020,1,18,0.5,0.1,H,2,,
BT,2020,6/17/2020,1,18,0.7,0.5,H,23,,
BT,2020,6/17/2020,1,18,0.76,0.2,H,32,,
BT,2020,6/17/2020,1,18,1,0.2,H,19,,
BT,2020,6/17/2020,1,19,0.26,0.05,H,10,,
BT,2020,6/17/2020,2,0,0.86,0.1,H,16.5,85,
BT,2020,6/17/2020,2,2,0.98,0.12,D,16,88,
BT,2020,6/17/2020,2,3,0.45,0.9,H,3,,
BT,2020,6/17/2020,2,4,0.06,0.75,H,28,103,
BT,2020,6/17/2020,2,4,0.32,0.29,H,33,104,
BT,2020,6/17/2020,2,4,0.43,0.77,H,1,,
BT,2020,6/17/2020,2,4,0.45,0.4,H,2,,
BT,2020,6/17/2020,2,4,0.45,0.45,H,2,,
BT,2020,6/17/2020,2,4,0.48,0.52,H,44,106,
BT,2020,6/17/2020,2,4,0.5,0.77,H,5,,
BT,2020,6/17/2020,2,4,0.54,0.25,H,32,110,
BT,2020,6/17/2020,2,4,0.55,0.03,H,44,108,
BT,2020,6/17/2020,2,4,0.55,0.89,H,32,105,
BT,2020,6/17/2020,2,4,0.67,0.66,H,1,,
BT,2020,6/17/2020,2,4,0.73,0.27,H,24,112,
BT,2020,6/17/2020,2,4,0.77,0.7,H,2,,
BT,2020,6/17/2020,2,4,0.77,0.97,H,1,114,
BT,2020,6/17/2020,2,4,0.8,0.3,H,17.5,113,
BT,2020,6/17/2020,2,4,0.84,0.54,H,25,109,yellowing at base
BT,2020,6/17/2020,2,4,0.92,0.25,H,30,107,
BT,2020,6/17/2020,2,4,0.99,0.93,H,33,111,
BT,2020,6/17/2020,2,7,0,0.15,H,3,,
BT,2020,6/17/2020,2,7,0.05,0.35,H,4,,
BT,2020,6/17/2020,2,7,0.35,0.65,H,4,,
BT,2020,6/17/2020,2,7,0.4,0.8,H,3,,
BT,2020,6/17/2020,2,7,0.5,0.65,H,2,,
BT,2020,6/17/2020,2,7,0.55,0.7,H,3,,
BT,2020,6/17/2020,2,8,0.15,0.75,H,31,,
BT,2020,6/17/2020,2,8,0.17,0.73,H,29,166,
BT,2020,6/17/2020,2,8,0.46,0.37,H,3,,
BT,2020,6/17/2020,2,8,0.64,0.33,H,28,158,
BT,2020,6/17/2020,2,8,0.64,0.4,H,3,,
BT,2020,6/17/2020,2,8,0.64,0.65,H,2,,
BT,2020,6/17/2020,2,8,0.7,0.3,H,0.5,,
BT,2020,6/17/2020,2,8,0.92,0.24,H,28,159,
BT,2020,6/17/2020,2,9,0.15,0.2,H,14,,
BT,2020,6/17/2020,2,9,0.25,0.45,H,38,462,
BT,2020,6/17/2020,2,9,0.65,0.3,H,3,,
BT,2020,6/17/2020,2,9,0.7,0.45,H,23,,
BT,2020,6/17/2020,2,9,0.7,0.55,H,12,,
BT,2020,6/17/2020,2,9,0.7,0.65,H,2,,
BT,2020,6/17/2020,2,9,0.75,0.5,H,14,,
BT,2020,6/17/2020,2,9,0.9,0.8,H,16,,
BT,2020,6/17/2020,2,10,0.05,0.55,H,32,,
BT,2020,6/17/2020,2,10,0.1,0.85,H,5,,
BT,2020,6/17/2020,2,10,0.1,0.9,H,5,,
BT,2020,6/17/2020,2,10,0.2,0.85,H,3,,
BT,2020,6/17/2020,2,10,0.3,0.82,H,2,,
BT,2020,6/17/2020,2,10,0.35,0.25,H,33,,
BT,2020,6/17/2020,2,10,0.75,0.25,H,14,186,
BT,2020,6/17/2020,2,11,0.02,0.52,H,3,,
BT,2020,6/17/2020,2,11,0.07,0.48,H,3,,
BT,2020,6/17/2020,2,11,0.09,0.51,H,4,,
