who.entered,date,picture,site,tag,color,leaf.iteration,pustule.number,max.diam (mm),min.diam (mm),N.pustules,N.pustule.count.confidence,pustule.ID.confidence,notes
BG,6/23/20,C1-0632,BT,86,pink,1,1,0.497,0.413,53,Yes,Yes,
BG,6/23/20,C1-0632,BT,86,pink,1,2,0.637,0.476,53,Yes,Yes,
BG,6/23/20,C1-0632,BT,86,pink,1,3,0.421,0.38,53,Yes,Yes,
BG,6/23/20,C1-0632,BT,86,pink,1,4,0.355,0.308,53,Yes,Yes,
BG,6/23/20,C1-0632,BT,86,pink,1,5,0.453,0.392,53,Yes,Yes,
BG,6/24/20,C1-0648,BT,86,pink,1,1,0.549,0.451,56,Yes,Yes,
BG,6/24/20,C1-0648,BT,86,pink,1,2,0.731,0.401,56,Yes,No,Might be 2 pustules
BG,6/24/20,C1-0648,BT,86,pink,1,3,0.464,0.389,56,Yes,Yes,
BG,6/24/20,C1-0648,BT,86,pink,1,4,0.343,0.226,56,Yes,Yes,Pustule on edge of leaf - might be cut off a bit
BG,6/24/20,C1-0648,BT,86,pink,1,5,0.491,0.337,56,Yes,Yes,
BG,6/26/20,C1-0686,BT,86,pink,1,1,0.593,0.464,58,Yes,Yes,
BG,6/26/20,C1-0686,BT,86,pink,1,2,0.762,0.516,58,Yes,No,Might be 2 pustules
BG,6/26/20,C1-0686,BT,86,pink,1,3,0.489,0.439,58,Yes,Yes,
BG,6/26/20,C1-0686,BT,86,pink,1,4,0.41,0.355,58,Yes,Yes,Pustule on edge of leaf which might be curled a bit
BG,6/26/20,C1-0686,BT,86,pink,1,5,0.472,0.348,58,Yes,Yes,
BG,6/29/20,C1-0730,BT,86,pink,1,1,0.628,0.495,58,Yes,Yes,
BG,6/29/20,C1-0730,BT,86,pink,1,2,0.746,0.503,58,Yes,No,Might be 2 pustules
BG,6/29/20,C1-0730,BT,86,pink,1,3,0.509,0.447,58,Yes,Yes,
BG,6/29/20,C1-0730,BT,86,pink,1,4,0.358,0.328,58,Yes,Yes,Pustule on edge of leaf which might be curled a bit
BG,6/29/20,C1-0730,BT,86,pink,1,5,0.457,0.351,58,Yes,Yes,
BG,7/1/20,C2-0130,BT,86,pink,1,1,0.545,0.37,65,Yes,Yes,"Might be 2 pustules, and has started to merge with other pustules"
BG,7/1/20,C2-0130,BT,86,pink,1,2,0.741,0.439,65,Yes,Yes,
BG,7/1/20,C2-0130,BT,86,pink,1,3,0.511,0.378,65,Yes,Yes,
BG,7/1/20,C2-0130,BT,86,pink,1,4,0.354,0.258,65,Yes,Yes,
BG,7/1/20,C2-0130,BT,86,pink,1,5,0.514,0.371,65,Yes,Yes,
BG,7/3/20,C1-0849,BT,86,pink,1,1,0.42,0.257,55,No,Yes,Entire leaf is shriveled - can't see all pustules clearly
BG,7/3/20,C1-0849,BT,86,pink,1,2,0.618,0.327,55,No,No,Might be 2 pustules
BG,7/3/20,C1-0849,BT,86,pink,1,3,,,55,No,,Part of leaf too shriveled to measure
BG,7/3/20,C1-0849,BT,86,pink,1,4,,,55,No,,Part of leaf too shriveled to measure
BG,7/3/20,C1-0849,BT,86,pink,1,5,,,55,No,,Merged with other pustule - can't measure accurately
BG,7/3/20,C1-0850,BT,86,pink,2,1,0.514,0.405,57,Yes,Yes,
BG,7/3/20,C1-0850,BT,86,pink,2,2,0.604,0.499,57,Yes,Yes,
BG,7/3/20,C1-0850,BT,86,pink,2,3,0.527,0.456,57,Yes,Yes,
BG,7/3/20,C1-0850,BT,86,pink,2,4,0.647,0.423,57,Yes,Yes,
BG,7/6/20,C2-0229,BT,86,pink,2,1,0.517,0.464,48,Yes,Yes,
BG,7/6/20,C2-0229,BT,86,pink,2,2,0.56,0.466,48,Yes,Yes,
BG,7/6/20,C2-0229,BT,86,pink,2,3,0.422,0.362,48,Yes,Yes,
BG,7/6/20,C2-0229,BT,86,pink,2,4,0.593,0.394,48,Yes,Yes,
BG,7/8/20,C2-0245,BT,86,pink,2,1,0.58,0.464,48,Yes,Yes,
BG,7/8/20,C2-0245,BT,86,pink,2,2,0.625,0.457,48,Yes,Yes,
BG,7/8/20,C2-0245,BT,86,pink,2,3,0.469,0.378,48,Yes,Yes,
BG,7/8/20,C2-0245,BT,86,pink,2,4,0.575,0.357,48,Yes,Yes,
BG,7/13/20,C1-1142,BT,86,pink,3,1,0.438,0.361,1,Yes,Yes,
BG,7/16/20,C2-0377,BT,86,pink,3,1,0.473,0.398,1,Yes,Yes,
BG,7/20/20,C2-0431,BT,86,pink,3,1,0.563,0.399,1,Yes,Yes,
BG,7/22/20,C1-1518,BT,86,pink,3,1,0.523,0.447,1,Yes,Yes,
BG,7/27/20,C1-1704,BT,86,pink,3,1,0.423,0.298,1,Yes,Yes,
BG,7/29/20,C1-1778,BT,86,pink,3,1,0.363,0.19,1,Yes,Yes,
BG,6/23/20,C1-0635,BT,86,orange,1,1,1.089,0.952,1,Yes,Yes,
BG,6/24/20,C1-0649,BT,86,orange,1,1,0.932,0.794,1,Yes,Yes,
BG,6/26/20,C1-0687,BT,86,orange,1,1,0.918,0.838,1,Yes,Yes,
BG,6/29/20,C1-0729,BT,86,orange,1,1,0.921,0.812,1,Yes,Yes,
BG,7/1/20,C2-0131,BT,86,orange,1,1,0.929,0.677,1,Yes,Yes,
BG,7/3/20,C1-0851,BT,86,orange,1,1,0.857,0.722,1,Yes,Yes,
BG,7/6/20,C2-0230,BT,86,orange,1,1,0.781,0.579,1,Yes,Yes,
BG,7/8/20,C2-0246,BT,86,orange,1,1,0.759,0.563,2,Yes,Yes,
BG,7/8/20,C2-0246,BT,86,orange,1,2,0.267,0.199,2,Yes,Yes,
BG,7/13/20,C1-1143,BT,86,orange,1,1,0.454,0.214,2,Yes,Yes,
BG,7/13/20,C1-1143,BT,86,orange,1,2,0.293,0.255,2,Yes,Yes,
BG,7/16/20,C2-0378,BT,86,orange,1,1,0,0,1,Yes,Yes,Disappeared
BG,7/16/20,C2-0378,BT,86,orange,1,2,0.296,0.243,1,Yes,Yes,
BG,7/20/20,C2-0432,BT,86,orange,1,2,0.284,0.236,1,Yes,Yes,
BG,7/22/20,C1-1519,BT,86,orange,1,2,0.268,0.196,1,Yes,Yes,
BG,7/27/20,C1-1705,BT,86,orange,1,2,0,0,0,Yes,Yes,Disappeared
BG,7/29/20,C1-1779,BT,86,orange,1,3,0.118,0.075,1,No,Yes,might be hypersensitive
BG,6/23/20,C2-0020,BT,97,pink,1,1,0.26,0.152,66,Yes,Yes,
BG,6/23/20,C2-0020,BT,97,pink,1,2,0.333,0.255,66,Yes,Yes,
BG,6/23/20,C2-0020,BT,97,pink,1,3,0.319,0.223,66,Yes,Yes,
BG,6/24/20,C1-0657,BT,97,pink,1,1,0.379,0.3,111,Yes,Yes,
BG,6/24/20,C1-0657,BT,97,pink,1,2,0.358,0.316,111,Yes,Yes,
BG,6/24/20,C1-0657,BT,97,pink,1,3,0.358,0.263,111,Yes,Yes,
BG,6/24/20,C1-0657,BT,97,pink,1,4,0.419,0.334,111,Yes,Yes,
BG,6/24/20,C1-0657,BT,97,pink,1,5,0.477,0.269,111,Yes,Yes,
BG,6/24/20,C1-0657,BT,97,pink,1,6,0.452,0.256,111,Yes,Yes,
BG,6/24/20,C1-0657,BT,97,pink,1,7,0.273,0.229,111,Yes,Yes,
BG,6/24/20,C1-0657,BT,97,pink,1,8,0.356,0.215,111,Yes,Yes,
BG,6/24/20,C1-0657,BT,97,pink,1,9,0.289,0.207,111,Yes,Yes,
