Date counted,Site,Tag,plant.inf.intens,Date deployed,Date collected,Direction,Distance.cm,N.squares.counted,Spores,spores.per.square.mm,notes
10/21/20,CC,36,92,7/6/20,7/13/20,U,0,80,0,0,
10/21/20,CC,36,92,7/6/20,7/13/20,R,0,80,0,0,
10/21/20,CC,36,92,7/6/20,7/13/20,L,0,80,2,0.025,
10/21/20,CC,36,92,7/6/20,7/13/20,D,0,80,0,0,
10/21/20,CC,36,92,7/6/20,7/13/20,D,25,80,0,0,
10/21/20,CC,36,92,7/6/20,7/13/20,U,25,80,0,0,
10/21/20,CC,36,92,7/6/20,7/13/20,L,25,80,0,0,
10/21/20,CC,36,92,7/6/20,7/13/20,R,25,80,0,0,
10/21/20,CC,36,92,7/6/20,7/13/20,R,50,80,0,0,
10/21/20,CC,36,92,7/6/20,7/13/20,L,50,80,0,0,
10/21/20,CC,36,92,7/6/20,7/13/20,U,50,80,0,0,
10/21/20,CC,36,92,7/6/20,7/13/20,D,50,80,0,0,
10/6/20,CC,42,2,7/13/20,7/20/20,R,0,80,0,0,
10/6/20,CC,42,2,7/13/20,7/20/20,L,0,80,0,0,
10/6/20,CC,42,2,7/13/20,7/20/20,U,0,80,0,0,
10/6/20,CC,42,2,7/13/20,7/20/20,D,0,80,0,0,
10/6/20,CC,42,2,7/13/20,7/20/20,R,25,80,0,0,
10/6/20,CC,42,2,7/13/20,7/20/20,L,25,80,0,0,
10/6/20,CC,42,2,7/13/20,7/20/20,D,25,80,0,0,
10/6/20,CC,42,2,7/13/20,7/20/20,U,25,80,0,0,
10/21/20,CC,62,1.8,7/6/20,7/13/20,D,0,80,0,0,
10/21/20,CC,62,1.8,7/6/20,7/13/20,R,0,80,0,0,
10/21/20,CC,62,1.8,7/6/20,7/13/20,U,0,80,0,0,
10/21/20,CC,62,1.8,7/6/20,7/13/20,L,0,80,0,0,
10/6/20,CC,62,1.2,7/13/20,7/20/20,D,0,80,0,0,
10/6/20,CC,62,1.2,7/13/20,7/20/20,U,0,80,0,0,
10/6/20,CC,62,1.2,7/13/20,7/20/20,L,0,80,0,0,
10/6/20,CC,62,1.2,7/13/20,7/20/20,R,0,80,1,0.0125,
10/21/20,CC,65,153.3333,7/6/20,7/13/20,U,0,80,0,0,
10/21/20,CC,65,153.3333,7/6/20,7/13/20,R,0,80,0,0,
10/21/20,CC,65,153.3333,7/6/20,7/13/20,L,0,80,0,0,
10/21/20,CC,65,153.3333,7/6/20,7/13/20,D,0,80,0,0,
10/6/20,CC,65,47.5,7/13/20,7/20/20,R,0,80,23,0.2875,
10/6/20,CC,65,47.5,7/13/20,7/20/20,D,0,80,25,0.3125,
10/6/20,CC,65,47.5,7/13/20,7/20/20,U,0,80,2,0.025,
10/6/20,CC,65,47.5,7/13/20,7/20/20,L,0,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,U,0,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,R,0,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,L,0,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,D,0,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,R,25,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,U,25,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,L,25,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,D,25,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,R,50,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,L,50,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,U,50,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,D,50,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,R,100,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,U,100,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,L,100,80,0,0,
10/21/20,CC,75,3,7/6/20,7/13/20,D,100,80,0,0,
10/14/20,BT,86,4849,7/8/20,7/16/20,R,0,80,1,0.0125,
10/14/20,BT,86,4849,7/8/20,7/16/20,L,0,80,0,0,
10/14/20,BT,86,4849,7/8/20,7/16/20,U,0,80,0,0,
10/14/20,BT,86,4849,7/8/20,7/16/20,D,0,80,0,0,
10/14/20,BT,86,4849,7/8/20,7/16/20,U,25,80,0,0,
10/14/20,BT,86,4849,7/8/20,7/16/20,D,25,80,0,0,
10/14/20,BT,86,4849,7/8/20,7/16/20,L,25,80,0,0,
10/21/20,BT,86,4849,7/8/20,7/16/20,R,25,80,0,0,
10/14/20,BT,86,4849,7/8/20,7/16/20,D,50,80,0,0,
10/21/20,BT,86,4849,7/8/20,7/16/20,L,50,80,0,0,
10/21/20,BT,86,4849,7/8/20,7/16/20,R,50,80,0,0,
10/6/20,BT,86,974.3333,7/16/20,7/22/20,R,0,80,74,0.925,
10/6/20,BT,86,974.3333,7/16/20,7/22/20,D,0,80,207,2.5875,
10/6/20,BT,86,974.3333,7/16/20,7/22/20,U,0,80,269,3.3625,
10/6/20,BT,86,974.3333,7/16/20,7/22/20,L,25,80,62,0.775,
10/6/20,BT,86,974.3333,7/16/20,7/22/20,R,25,80,8,0.1,
10/6/20,BT,86,974.3333,7/16/20,7/22/20,D,25,80,4,0.05,
10/14/20,BT,86,974.3333,7/16/20,7/22/20,U,25,80,0,0,
10/6/20,BT,86,974.3333,7/16/20,7/22/20,U,50,80,3,0.0375,
10/6/20,BT,86,974.3333,7/16/20,7/22/20,D,50,80,3,0.0375,
10/6/20,BT,86,974.3333,7/16/20,7/22/20,L,50,80,27,0.3375,
10/6/20,BT,86,974.3333,7/16/20,7/22/20,L,50,80,16,0.2,
10/21/20,BT,88,4224.733,7/8/20,7/16/20,R,0,40,232,5.8,
10/21/20,BT,88,4224.733,7/8/20,7/16/20,D,0,40,336,8.4,
10/21/20,BT,88,4224.733,7/8/20,7/16/20,U,0,80,81,1.0125,
10/21/20,BT,88,4224.733,7/8/20,7/16/20,L,0,80,134,1.675,
10/14/20,BT,88,4224.733,7/8/20,7/16/20,R,25,80,0,0,
10/14/20,BT,88,4224.733,7/8/20,7/16/20,D,25,80,0,0,
10/21/20,BT,88,4224.733,7/8/20,7/16/20,U,25,80,7,0.0875,
10/21/20,BT,88,4224.733,7/8/20,7/16/20,L,25,80,18,0.225,
10/6/20,BT,88,3249,7/16/20,7/22/20,L,0,80,299,3.7375,
10/6/20,BT,88,3249,7/16/20,7/22/20,L,0,80,374,4.675,
10/6/20,BT,88,3249,7/16/20,7/22/20,R,0,40,676,16.9,
10/14/20,BT,88,3249,7/16/20,7/22/20,D,0,20,1244,62.2,
10/14/20,BT,88,3249,7/16/20,7/22/20,U,0,40,139,3.475,
10/6/20,BT,88,3249,7/16/20,7/22/20,L,25,80,28,0.35,
10/14/20,BT,88,3249,7/16/20,7/22/20,D,25,80,49,0.6125,
10/14/20,BT,88,3249,7/16/20,7/22/20,U,25,80,14,0.175,
10/14/20,BT,88,3249,7/16/20,7/22/20,R,25,80,10,0.125,
10/14/20,BT,132,1000,7/16/20,7/22/20,U,0,80,71,0.8875,
10/14/20,BT,132,1000,7/16/20,7/22/20,R,0,40,314,7.85,
10/14/20,BT,132,1000,7/16/20,7/22/20,L,0,80,51,0.6375,
10/14/20,BT,132,1000,7/16/20,7/22/20,D,0,80,98,1.225,
10/21/20,BT,149,0.3,7/8/20,7/16/20,L,0,80,0,0,
